Financial Year,Disability Status of the Individual,Gender of the Individual,Educational Attainment of the Individual,Universal Credit (UC) Applicable Family for the Individual,Savings and Investments of Adults in the Family of the Individual,Number of Children in the Family of the Individual,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),0_to_15,16_to_19_child,16_to_24_adult,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_or_over
2021-22,Disabled,Male,Student,In a UC applicable family,"£1,500 but less than £3,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£1,500 but less than £3,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£1,500 but less than £3,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",No children,Great Britain,0.0,0.0,5382.0,0.0,1775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",Two children,Great Britain,0.0,0.0,0.0,0.0,2073.0,0.0,3139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£10,000 but less than £16,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",No children,Great Britain,0.0,0.0,2204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£16,000 but less than £20,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",No children,Great Britain,0.0,0.0,0.0,2087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,967.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£20,000 or more",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",No children,Great Britain,0.0,0.0,3020.0,14714.0,3407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£3,000 but less than £8,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",No children,Great Britain,0.0,0.0,0.0,2396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,In a UC applicable family,"£8,000 but less than £10,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"Less than £1,500",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),No savings,Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£1,500 but less than £3,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£10,000 but less than £16,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£16,000 but less than £20,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£20,000 or more",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£3,000 but less than £8,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not available (before 2018/19),"£8,000 but less than £10,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,"Less than £1,500",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,No savings,No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,No savings,No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,No savings,One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,No savings,One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,No savings,Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Male,Student,Not in a UC applicable family,No savings,Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
