,date,geography_code,phase,fsm_eligible_percent
1701,201920,E08000005,State-funded secondary,23.1
1702,201920,E08000023,State-funded secondary,22.0
1708,201920,E06000007,State-funded special school,41.1
1710,201920,E08000012,State-funded special school,52.7
1711,201920,E08000032,State-funded special school,32.9
1714,201920,E08000008,State-funded special school,39.6
1715,201920,E06000008,State-funded special school,33.4
1716,201920,E06000014,State-funded special school,27.3
1717,201920,E06000049,State-funded special school,32.4
1727,201920,E08000006,State-funded special school,48.3
1729,201920,E06000009,State-funded special school,50.2
1737,201920,E06000004,State-funded special school,45.5
1738,201920,E08000001,State-funded special school,43.0
1739,201920,E06000010,State-funded special school,47.0
1747,201920,E10000017,State-funded special school,40.2
1748,201920,E10000023,State-funded special school,34.0
1757,201920,E10000006,State-funded special school,34.3
1767,201920,E06000011,State-funded special school,31.9
1768,201920,E06000047,State-funded special school,50.9
1769,201920,E08000017,State-funded special school,38.7
1784,201920,E08000036,State-funded special school,47.0
1785,201920,E06000002,State-funded special school,53.4
1788,201920,E08000002,State-funded special school,34.6
1789,201920,E08000018,State-funded special school,40.6
1790,201920,E08000020,State-funded special school,42.3
1793,201920,E08000021,State-funded special school,56.0
1799,201920,E06000001,State-funded special school,52.1
1800,201920,E06000003,State-funded special school,47.3
1801,201920,E08000015,State-funded special school,47.6
1806,201920,E08000010,State-funded special school,39.1
1807,201920,E06000005,State-funded special school,52.0
1809,201920,E06000048,State-funded special school,43.0
1816,201920,E06000012,State-funded special school,42.2
1817,201920,E08000003,State-funded special school,52.1
1818,201920,E06000013,State-funded special school,37.0
1819,201920,E08000011,State-funded special school,53.4
1820,201920,E08000019,State-funded special school,50.7
1823,201920,E08000024,State-funded special school,50.7
1826,201920,E08000033,State-funded special school,37.3
1827,201920,E08000014,State-funded special school,44.0
1829,201920,E08000034,State-funded special school,45.8
1831,201920,E06000050,State-funded special school,40.9
1834,201920,E08000013,State-funded special school,44.1
1835,201920,E08000007,State-funded special school,37.2
1836,201920,E08000009,State-funded special school,35.3
1837,201920,E08000035,State-funded special school,44.9
1844,201920,E08000016,State-funded special school,50.6
1848,201920,E08000004,State-funded special school,37.7
1849,201920,E06000006,State-funded special school,48.4
1850,201920,E08000005,State-funded special school,43.4
1851,201920,E08000022,State-funded special school,43.1
1852,201920,E08000023,State-funded special school,53.2
1925,201819,E08000014,Total,16.5
1926,201819,E08000008,Total,19.5
1927,201819,E08000036,Total,15.1
1928,201819,E08000017,Total,17.9
1930,201819,E06000012,Total,19.3
1931,201819,E08000002,Total,16.1
1935,201819,E06000009,Total,28.4
1937,201819,E08000012,Total,25.5
1938,201819,E08000034,Total,20.0
1939,201819,E08000023,Total,22.4
1941,201819,E08000006,Total,24.2
1942,201819,E06000014,Total,9.0
1943,201819,E08000024,Total,22.3
1946,201819,E08000009,Total,9.2
1947,201819,E10000006,Total,11.2
1948,201819,E08000015,Total,19.5
1949,201819,E06000010,Total,23.3
1965,201819,E08000010,Total,16.8
1975,201819,E06000049,Total,9.8
1976,201819,E08000013,Total,17.4
1977,201819,E08000007,Total,13.0
1978,201819,E08000035,Total,18.2
1981,201819,E06000007,Total,13.1
2001,201819,E06000050,Total,13.3
2008,201819,E06000003,Total,20.1
2012,201819,E08000020,Total,18.7
2014,201819,E08000021,Total,29.8
2024,201819,E06000004,Total,18.1
2029,201819,E06000005,Total,19.8
2031,201819,E06000048,Total,14.3
2040,201819,E06000001,Total,29.0
2045,201819,E08000001,Total,18.1
2046,201819,E08000018,Total,16.8
2047,201819,E06000011,Total,13.3
2049,201819,E08000003,Total,28.0
2050,201819,E08000032,Total,18.3
2051,201819,E06000013,Total,16.5
2052,201819,E08000011,Total,31.4
2053,201819,E08000004,Total,19.6
2054,201819,E08000033,Total,16.8
2056,201819,E08000022,Total,15.1
2065,201819,E06000002,Total,26.9
2067,201819,E08000016,Total,20.4
2068,201819,E06000006,Total,27.9
2069,201819,E08000019,Total,22.7
2070,201819,E06000047,Total,20.9
2073,201819,E10000017,Total,15.3
2074,201819,E08000005,Total,20.8
2075,201819,E06000008,Total,16.9
2076,201819,E10000023,Total,9.8
2077,201819,E08000015,Non-maintained special school,25.3
2078,201819,E08000009,Non-maintained special school,35.5
2079,201819,E08000017,Non-maintained special school,50.0
2085,201819,E08000007,Non-maintained special school,21.8
2086,201819,E08000035,Non-maintained special school,31.2
2087,201819,E08000013,Non-maintained special school,0.0
2088,201819,E08000001,Non-maintained special school,0.0
2095,201819,E06000049,Non-maintained special school,0.0
2107,201819,E08000021,Non-maintained special school,21.2
2108,201819,E08000022,Non-maintained special school,20.5
2110,201819,E06000048,Non-maintained special school,25.0
2111,201819,E08000033,Non-maintained special school,76.5
2112,201819,E08000019,Non-maintained special school,12.1
2113,201819,E10000023,Non-maintained special school,18.3
2114,201819,E08000034,Non-maintained special school,4.0
2116,201819,E08000012,Non-maintained special school,9.3
2117,201819,E08000014,Non-maintained special school,17.4
2118,201819,E06000007,Non-maintained special school,96.7
2119,201819,E08000009,Pupil referral unit,38.5
2120,201819,E06000010,Pupil referral unit,57.6
2121,201819,E06000003,Pupil referral unit,50.7
2122,201819,E08000015,Pupil referral unit,38.5
2123,201819,E08000017,Pupil referral unit,35.4
2126,201819,E06000013,Pupil referral unit,55.6
2127,201819,E08000003,Pupil referral unit,70.4
2130,201819,E08000012,Pupil referral unit,18.9
2131,201819,E08000034,Pupil referral unit,58.5
2132,201819,E08000024,Pupil referral unit,53.0
2135,201819,E08000007,Pupil referral unit,33.7
2136,201819,E08000013,Pupil referral unit,32.2
2137,201819,E08000035,Pupil referral unit,52.9
2139,201819,E10000006,Pupil referral unit,34.9
2141,201819,E08000010,Pupil referral unit,34.2
2142,201819,E06000011,Pupil referral unit,48.5
2157,201819,E06000006,Pupil referral unit,68.8
2166,201819,E06000049,Pupil referral unit,18.2
2167,201819,E08000008,Pupil referral unit,40.3
2168,201819,E08000036,Pupil referral unit,35.6
2171,201819,E10000017,Pupil referral unit,48.4
2182,201819,E06000050,Pupil referral unit,34.1
2202,201819,E08000021,Pupil referral unit,38.9
2204,201819,E08000022,Pupil referral unit,36.5
2212,201819,E06000004,Pupil referral unit,52.5
2213,201819,E06000047,Pupil referral unit,46.7
2214,201819,E08000018,Pupil referral unit,48.4
2218,201819,E06000048,Pupil referral unit,83.3
2219,201819,E08000032,Pupil referral unit,48.4
2220,201819,E08000011,Pupil referral unit,69.5
2221,201819,E08000033,Pupil referral unit,68.3
2226,201819,E06000001,Pupil referral unit,68.2
2227,201819,E06000002,Pupil referral unit,31.0
2229,201819,E08000016,Pupil referral unit,53.6
2232,201819,E08000001,Pupil referral unit,57.6
2233,201819,E08000002,Pupil referral unit,38.2
2234,201819,E08000019,Pupil referral unit,57.1
2235,201819,E08000020,Pupil referral unit,34.2
2237,201819,E08000004,Pupil referral unit,25.8
2238,201819,E10000023,Pupil referral unit,38.5
2239,201819,E08000005,Pupil referral unit,54.5
2244,201819,E08000023,Pupil referral unit,37.3
2250,201819,E08000014,Pupil referral unit,39.1
2253,201819,E06000007,Pupil referral unit,16.7
2254,201819,E06000012,Pupil referral unit,47.2
2255,201819,E06000005,Pupil referral unit,56.7
2257,201819,E06000008,Pupil referral unit,59.3
2258,201819,E08000006,Pupil referral unit,51.5
2259,201819,E06000009,Pupil referral unit,45.8
2260,201819,E06000014,Pupil referral unit,31.9
2261,201819,E06000010,State-funded nursery,4.1
2262,201819,E08000015,State-funded nursery,7.4
2265,201819,E08000003,State-funded nursery,30.2
2266,201819,E06000007,State-funded nursery,0.0
2270,201819,E08000012,State-funded nursery,4.8
2271,201819,E08000034,State-funded nursery,0.0
2273,201819,E08000024,State-funded nursery,1.1
2276,201819,E08000007,State-funded nursery,10.9
2277,201819,E08000013,State-funded nursery,0.0
2280,201819,E10000006,State-funded nursery,1.8
2282,201819,E08000010,State-funded nursery,0.0
2283,201819,E06000011,State-funded nursery,0.0
2297,201819,E06000049,State-funded nursery,0.0
2298,201819,E10000017,State-funded nursery,0.0
2303,201819,E06000050,State-funded nursery,0.0
2325,201819,E08000021,State-funded nursery,23.1
2326,201819,E08000022,State-funded nursery,0.0
2330,201819,E08000018,State-funded nursery,0.2
2332,201819,E08000032,State-funded nursery,3.7
2339,201819,E08000001,State-funded nursery,0.5
2340,201819,E08000002,State-funded nursery,53.1
2342,201819,E08000019,State-funded nursery,22.0
2343,201819,E08000020,State-funded nursery,0.0
2344,201819,E06000047,State-funded nursery,0.0
2345,201819,E08000005,State-funded nursery,0.0
2350,201819,E08000023,State-funded nursery,0.3
2351,201819,E08000014,State-funded nursery,0.0
2352,201819,E08000036,State-funded nursery,0.0
2355,201819,E06000006,State-funded nursery,0.0
2356,201819,E06000012,State-funded nursery,0.0
2357,201819,E06000005,State-funded nursery,0.0
2359,201819,E06000008,State-funded nursery,0.0
2360,201819,E10000023,State-funded nursery,3.1
2361,201819,E06000014,State-funded nursery,4.0
2362,201819,E08000009,State-funded primary,8.7
2363,201819,E06000003,State-funded primary,20.5
2364,201819,E08000015,State-funded primary,20.6
2365,201819,E08000017,State-funded primary,18.3
2366,201819,E06000010,State-funded primary,23.0
2370,201819,E06000013,State-funded primary,16.7
2372,201819,E08000003,State-funded primary,27.8
2373,201819,E06000007,State-funded primary,14.3
2380,201819,E08000012,State-funded primary,25.7
2381,201819,E08000006,State-funded primary,23.6
2382,201819,E08000034,State-funded primary,18.3
2384,201819,E08000024,State-funded primary,21.9
2388,201819,E08000013,State-funded primary,17.4
2390,201819,E08000035,State-funded primary,18.6
2392,201819,E10000006,State-funded primary,11.8
2403,201819,E08000010,State-funded primary,17.5
2414,201819,E06000049,State-funded primary,10.0
2415,201819,E08000007,State-funded primary,12.5
2427,201819,E08000008,State-funded primary,19.8
2428,201819,E06000050,State-funded primary,13.4
2453,201819,E08000021,State-funded primary,31.4
2460,201819,E06000004,State-funded primary,18.0
2462,201819,E08000018,State-funded primary,16.9
2466,201819,E06000048,State-funded primary,15.1
2467,201819,E08000032,State-funded primary,17.7
2468,201819,E08000022,State-funded primary,16.4
2469,201819,E08000011,State-funded primary,28.5
2471,201819,E08000033,State-funded primary,17.8
2477,201819,E06000001,State-funded primary,28.9
2478,201819,E08000016,State-funded primary,20.7
2482,201819,E08000001,State-funded primary,17.6
2483,201819,E06000011,State-funded primary,14.1
2485,201819,E08000019,State-funded primary,23.7
2486,201819,E08000020,State-funded primary,19.4
2487,201819,E06000047,State-funded primary,22.6
2489,201819,E08000004,State-funded primary,19.3
2490,201819,E10000017,State-funded primary,15.7
2491,201819,E08000005,State-funded primary,20.0
2492,201819,E10000023,State-funded primary,10.7
2496,201819,E08000023,State-funded primary,23.2
2501,201819,E06000002,State-funded primary,26.1
2502,201819,E08000014,State-funded primary,17.1
2503,201819,E08000036,State-funded primary,15.2
2505,201819,E06000006,State-funded primary,29.4
2506,201819,E06000012,State-funded primary,20.0
2507,201819,E06000005,State-funded primary,21.3
2508,201819,E08000002,State-funded primary,15.6
2510,201819,E06000008,State-funded primary,16.9
2511,201819,E06000009,State-funded primary,27.0
2512,201819,E06000014,State-funded primary,9.4
2513,201819,E08000009,State-funded secondary,8.6
2514,201819,E06000003,State-funded secondary,17.9
2515,201819,E08000017,State-funded secondary,16.5
2519,201819,E06000007,State-funded secondary,10.6
2523,201819,E06000009,State-funded secondary,28.9
2526,201819,E08000012,State-funded secondary,24.3
2527,201819,E08000034,State-funded secondary,21.6
2528,201819,E08000024,State-funded secondary,22.8
2532,201819,E08000006,State-funded secondary,23.7
2533,201819,E06000014,State-funded secondary,7.6
2534,201819,E08000013,State-funded secondary,16.5
2535,201819,E08000035,State-funded secondary,16.8
2537,201819,E10000006,State-funded secondary,10.0
2538,201819,E08000015,State-funded secondary,16.8
2539,201819,E06000010,State-funded secondary,22.1
2551,201819,E08000010,State-funded secondary,15.0
2562,201819,E06000049,State-funded secondary,9.1
2563,201819,E08000007,State-funded secondary,12.7
2573,201819,E08000008,State-funded secondary,18.0
2574,201819,E06000050,State-funded secondary,11.8
2597,201819,E08000021,State-funded secondary,26.5
2598,201819,E06000005,State-funded secondary,17.0
2609,201819,E06000004,State-funded secondary,16.9
2610,201819,E08000018,State-funded secondary,16.0
2615,201819,E06000048,State-funded secondary,12.3
2616,201819,E08000003,State-funded secondary,26.7
2617,201819,E08000032,State-funded secondary,19.1
2618,201819,E08000022,State-funded secondary,12.3
2624,201819,E06000001,State-funded secondary,28.0
2629,201819,E08000001,State-funded secondary,18.2
2630,201819,E06000011,State-funded secondary,12.1
2632,201819,E08000020,State-funded secondary,16.6
2633,201819,E06000047,State-funded secondary,17.6
2636,201819,E08000004,State-funded secondary,19.2
2637,201819,E06000013,State-funded secondary,15.7
2638,201819,E08000011,State-funded secondary,36.5
2639,201819,E08000005,State-funded secondary,21.3
2640,201819,E08000033,State-funded secondary,14.8
2641,201819,E10000023,State-funded secondary,8.1
2647,201819,E08000023,State-funded secondary,20.2
2652,201819,E08000014,State-funded secondary,15.0
2653,201819,E08000016,State-funded secondary,18.7
2654,201819,E08000036,State-funded secondary,14.3
2655,201819,E06000002,State-funded secondary,26.9
2657,201819,E06000006,State-funded secondary,25.9
2658,201819,E08000019,State-funded secondary,20.1
2659,201819,E06000012,State-funded secondary,17.0
2660,201819,E08000002,State-funded secondary,16.0
2662,201819,E10000017,State-funded secondary,14.0
2663,201819,E06000008,State-funded secondary,16.3
2664,201819,E08000008,State-funded special school,37.8
2665,201819,E06000003,State-funded special school,47.1
2666,201819,E08000017,State-funded special school,35.4
2673,201819,E06000009,State-funded special school,49.2
2675,201819,E08000012,State-funded special school,51.6
2676,201819,E08000034,State-funded special school,46.1
2680,201819,E08000006,State-funded special school,45.8
2681,201819,E06000014,State-funded special school,26.8
2682,201819,E08000024,State-funded special school,49.4
2684,201819,E08000009,State-funded special school,33.5
2685,201819,E10000006,State-funded special school,32.4
2686,201819,E08000015,State-funded special school,46.3
2687,201819,E06000010,State-funded special school,46.9
2699,201819,E08000010,State-funded special school,36.9
2710,201819,E06000049,State-funded special school,31.6
2711,201819,E08000013,State-funded special school,43.6
2712,201819,E08000007,State-funded special school,36.0
2713,201819,E08000035,State-funded special school,43.1
2716,201819,E06000007,State-funded special school,38.4
2719,201819,E08000020,State-funded special school,39.9
2737,201819,E06000050,State-funded special school,39.2
2748,201819,E08000021,State-funded special school,54.1
2757,201819,E06000004,State-funded special school,42.4
2758,201819,E08000018,State-funded special school,39.1
2764,201819,E06000005,State-funded special school,46.6
2765,201819,E08000032,State-funded special school,31.6
2766,201819,E06000048,State-funded special school,40.0
2773,201819,E06000001,State-funded special school,51.0
2778,201819,E08000001,State-funded special school,38.8
2779,201819,E06000011,State-funded special school,32.4
2782,201819,E08000003,State-funded special school,48.5
2783,201819,E08000004,State-funded special school,38.2
2784,201819,E06000013,State-funded special school,36.9
2785,201819,E08000011,State-funded special school,53.6
2786,201819,E08000033,State-funded special school,35.6
2787,201819,E10000023,State-funded special school,32.4
2789,201819,E08000022,State-funded special school,40.1
2794,201819,E08000023,State-funded special school,51.3
2799,201819,E08000014,State-funded special school,41.1
2800,201819,E08000016,State-funded special school,47.7
2801,201819,E08000036,State-funded special school,44.4
2803,201819,E06000002,State-funded special school,52.0
2805,201819,E06000006,State-funded special school,45.2
2806,201819,E08000019,State-funded special school,47.4
2807,201819,E06000012,State-funded special school,42.5
2808,201819,E06000047,State-funded special school,47.5
2809,201819,E08000002,State-funded special school,33.3
2811,201819,E10000017,State-funded special school,38.5
2812,201819,E08000005,State-funded special school,41.0
2813,201819,E06000008,State-funded special school,34.9
2885,201718,E08000009,Total,8.6
2886,201718,E08000016,Total,18.0
2887,201718,E06000003,Total,18.0
2888,201718,E06000004,Total,16.4
2889,201718,E08000017,Total,15.3
2891,201718,E10000017,Total,13.5
2898,201718,E08000024,Total,21.0
2908,201718,E08000013,Total,15.8
2909,201718,E08000007,Total,11.4
2910,201718,E08000035,Total,15.6
2913,201718,E10000006,Total,9.9
2914,201718,E08000015,Total,17.0
2915,201718,E06000010,Total,22.5
2916,201718,E08000001,Total,15.9
2917,201718,E08000018,Total,15.1
2923,201718,E08000010,Total,14.3
2924,201718,E06000006,Total,26.1
2925,201718,E06000011,Total,11.8
2929,201718,E08000021,Total,25.6
2942,201718,E06000012,Total,15.9
2943,201718,E06000047,Total,18.1
2946,201718,E06000048,Total,12.3
2951,201718,E06000050,Total,11.6
2953,201718,E08000002,Total,14.8
2957,201718,E08000011,Total,29.1
2958,201718,E08000004,Total,17.6
2959,201718,E08000033,Total,14.4
2960,201718,E08000022,Total,12.6
2979,201718,E06000007,Total,11.0
2984,201718,E08000005,Total,18.9
2985,201718,E06000008,Total,15.2
2986,201718,E10000023,Total,8.1
2987,201718,E08000012,Total,24.0
2992,201718,E06000001,Total,25.8
2998,201718,E08000036,Total,13.1
3005,201718,E06000005,Total,16.6
3006,201718,E08000019,Total,20.3
3007,201718,E08000020,Total,15.9
3008,201718,E06000009,Total,25.5
3010,201718,E08000006,Total,21.6
3011,201718,E08000034,Total,19.0
3012,201718,E06000014,Total,7.6
3016,201718,E08000014,Total,15.3
3017,201718,E08000008,Total,17.4
3019,201718,E06000002,Total,24.2
3027,201718,E08000003,Total,24.8
3028,201718,E08000032,Total,17.7
3029,201718,E06000013,Total,13.7
3034,201718,E06000049,Total,8.4
3035,201718,E08000023,Total,19.2
3036,201718,E08000017,Non-maintained special school,57.7
3038,201718,E08000013,Non-maintained special school,0.0
3040,201718,E08000035,Non-maintained special school,23.6
3045,201718,E08000001,Non-maintained special school,3.9
3046,201718,E08000019,Non-maintained special school,23.5
3049,201718,E06000007,Non-maintained special school,100.0
3051,201718,E08000022,Non-maintained special school,21.9
3058,201718,E08000033,Non-maintained special school,50.8
3061,201718,E08000012,Non-maintained special school,13.5
3065,201718,E08000034,Non-maintained special school,4.8
3067,201718,E08000014,Non-maintained special school,11.1
3069,201718,E06000048,Non-maintained special school,13.5
3070,201718,E08000021,Non-maintained special school,33.1
3072,201718,E08000007,Non-maintained special school,21.8
3073,201718,E08000015,Non-maintained special school,24.7
3074,201718,E08000009,Non-maintained special school,34.2
3076,201718,E10000023,Non-maintained special school,10.3
3078,201718,E06000049,Non-maintained special school,0.0
3080,201718,E10000006,Pupil referral unit,28.7
3081,201718,E06000003,Pupil referral unit,34.4
3082,201718,E08000015,Pupil referral unit,45.1
3083,201718,E08000017,Pupil referral unit,30.7
3084,201718,E06000004,Pupil referral unit,57.4
3085,201718,E06000047,Pupil referral unit,47.6
3086,201718,E08000018,Pupil referral unit,56.5
3091,201718,E06000008,Pupil referral unit,55.6
3096,201718,E08000013,Pupil referral unit,26.7
3097,201718,E08000035,Pupil referral unit,43.3
3111,201718,E08000010,Pupil referral unit,30.1
3112,201718,E06000011,Pupil referral unit,46.6
3113,201718,E08000001,Pupil referral unit,50.0
3114,201718,E08000002,Pupil referral unit,33.0
3115,201718,E08000019,Pupil referral unit,56.5
3117,201718,E08000008,Pupil referral unit,32.2
3118,201718,E06000050,Pupil referral unit,14.3
3122,201718,E06000006,Pupil referral unit,68.8
3123,201718,E06000012,Pupil referral unit,44.4
3124,201718,E08000020,Pupil referral unit,33.0
3127,201718,E08000022,Pupil referral unit,35.7
3137,201718,E06000007,Pupil referral unit,16.7
3140,201718,E06000013,Pupil referral unit,40.0
3141,201718,E06000005,Pupil referral unit,46.2
3144,201718,E08000011,Pupil referral unit,64.4
3145,201718,E08000033,Pupil referral unit,51.9
3148,201718,E08000003,Pupil referral unit,65.4
3152,201718,E08000005,Pupil referral unit,44.9
3153,201718,E08000023,Pupil referral unit,14.3
3171,201718,E10000017,Pupil referral unit,46.7
3175,201718,E08000006,Pupil referral unit,45.2
3176,201718,E06000009,Pupil referral unit,47.6
3177,201718,E06000014,Pupil referral unit,30.4
3178,201718,E08000012,Pupil referral unit,26.2
3179,201718,E08000034,Pupil referral unit,43.5
3183,201718,E08000016,Pupil referral unit,48.0
3184,201718,E06000001,Pupil referral unit,57.9
3187,201718,E08000036,Pupil referral unit,31.3
3188,201718,E06000002,Pupil referral unit,38.6
3189,201718,E08000014,Pupil referral unit,43.2
3196,201718,E06000048,Pupil referral unit,80.0
3197,201718,E08000032,Pupil referral unit,44.0
3198,201718,E08000021,Pupil referral unit,52.8
3199,201718,E08000007,Pupil referral unit,28.4
3204,201718,E06000010,Pupil referral unit,40.4
3205,201718,E08000009,Pupil referral unit,19.6
3211,201718,E08000004,Pupil referral unit,31.3
3212,201718,E10000023,Pupil referral unit,36.6
3218,201718,E06000049,Pupil referral unit,19.2
3219,201718,E08000024,Pupil referral unit,56.4
3222,201718,E10000006,State-funded nursery,1.1
3223,201718,E08000015,State-funded nursery,5.5
3224,201718,E06000010,State-funded nursery,0.8
3226,201718,E08000018,State-funded nursery,0.0
3229,201718,E06000008,State-funded nursery,0.0
3234,201718,E08000013,State-funded nursery,0.0
3244,201718,E08000010,State-funded nursery,0.0
3245,201718,E08000001,State-funded nursery,0.0
3246,201718,E06000011,State-funded nursery,0.0
3248,201718,E08000019,State-funded nursery,24.6
3249,201718,E06000050,State-funded nursery,0.0
3253,201718,E08000002,State-funded nursery,51.1
3254,201718,E06000006,State-funded nursery,0.0
3255,201718,E06000012,State-funded nursery,0.0
3256,201718,E08000020,State-funded nursery,0.0
3257,201718,E06000047,State-funded nursery,0.0
3260,201718,E08000022,State-funded nursery,0.0
3270,201718,E06000005,State-funded nursery,0.0
3278,201718,E08000003,State-funded nursery,22.8
3279,201718,E06000007,State-funded nursery,0.0
3280,201718,E08000005,State-funded nursery,0.0
3281,201718,E10000023,State-funded nursery,2.4
3282,201718,E08000023,State-funded nursery,0.0
3295,201718,E10000017,State-funded nursery,0.0
3296,201718,E06000014,State-funded nursery,0.0
3297,201718,E08000012,State-funded nursery,4.0
3298,201718,E08000034,State-funded nursery,0.0
3301,201718,E08000036,State-funded nursery,0.0
3302,201718,E08000014,State-funded nursery,0.0
3308,201718,E08000032,State-funded nursery,1.9
3310,201718,E08000021,State-funded nursery,20.3
3311,201718,E08000007,State-funded nursery,13.0
3318,201718,E06000049,State-funded nursery,0.0
3320,201718,E08000024,State-funded nursery,1.3
3322,201718,E10000006,State-funded primary,10.6
3323,201718,E06000003,State-funded primary,17.6
3324,201718,E08000015,State-funded primary,18.0
3325,201718,E08000017,State-funded primary,15.5
3326,201718,E06000004,State-funded primary,16.3
3328,201718,E08000018,State-funded primary,15.0
3332,201718,E06000008,State-funded primary,15.0
3340,201718,E08000013,State-funded primary,16.0
3341,201718,E08000035,State-funded primary,15.9
3353,201718,E08000007,State-funded primary,11.1
3358,201718,E06000010,State-funded primary,22.2
3359,201718,E08000001,State-funded primary,15.4
3360,201718,E06000011,State-funded primary,12.5
3363,201718,E08000008,State-funded primary,16.9
3364,201718,E06000050,State-funded primary,11.9
3367,201718,E08000010,State-funded primary,14.7
3369,201718,E06000006,State-funded primary,27.8
3370,201718,E08000019,State-funded primary,20.9
3371,201718,E06000012,State-funded primary,15.8
3372,201718,E08000020,State-funded primary,16.3
3373,201718,E06000047,State-funded primary,19.3
3388,201718,E06000005,State-funded primary,18.1
3389,201718,E08000002,State-funded primary,14.4
3392,201718,E08000022,State-funded primary,13.1
3393,201718,E08000011,State-funded primary,26.2
3399,201718,E08000003,State-funded primary,24.5
3400,201718,E06000007,State-funded primary,11.6
3403,201718,E08000005,State-funded primary,18.3
3404,201718,E08000033,State-funded primary,15.6
3405,201718,E10000023,State-funded primary,8.8
3406,201718,E08000023,State-funded primary,19.5
3426,201718,E08000012,State-funded primary,24.5
3427,201718,E08000006,State-funded primary,21.3
3428,201718,E08000034,State-funded primary,17.8
3431,201718,E08000016,State-funded primary,18.3
3432,201718,E06000001,State-funded primary,26.4
3434,201718,E08000036,State-funded primary,12.9
3435,201718,E06000002,State-funded primary,23.4
3436,201718,E08000014,State-funded primary,15.9
3446,201718,E06000048,State-funded primary,12.4
3447,201718,E08000032,State-funded primary,17.2
3449,201718,E08000021,State-funded primary,26.7
3450,201718,E06000009,State-funded primary,24.8
3453,201718,E06000014,State-funded primary,7.9
3457,201718,E08000009,State-funded primary,8.3
3463,201718,E08000004,State-funded primary,17.1
3464,201718,E10000017,State-funded primary,13.9
3465,201718,E06000013,State-funded primary,13.6
3468,201718,E06000049,State-funded primary,8.7
3470,201718,E08000024,State-funded primary,20.8
3474,201718,E08000009,State-funded secondary,7.9
3475,201718,E10000006,State-funded secondary,8.7
3476,201718,E06000003,State-funded secondary,17.3
3477,201718,E08000017,State-funded secondary,14.3
3478,201718,E06000004,State-funded secondary,15.2
3479,201718,E08000018,State-funded secondary,14.4
3490,201718,E08000013,State-funded secondary,14.7
3501,201718,E08000007,State-funded secondary,10.8
3502,201718,E08000035,State-funded secondary,14.5
3505,201718,E08000015,State-funded secondary,14.5
3506,201718,E06000010,State-funded secondary,21.6
3507,201718,E08000001,State-funded secondary,16.1
3508,201718,E06000011,State-funded secondary,10.6
3512,201718,E08000008,State-funded secondary,17.5
3517,201718,E08000010,State-funded secondary,12.8
3518,201718,E06000006,State-funded secondary,23.7
3519,201718,E08000019,State-funded secondary,18.1
3520,201718,E06000012,State-funded secondary,14.9
3521,201718,E08000020,State-funded secondary,14.1
3522,201718,E06000047,State-funded secondary,15.4
3537,201718,E08000002,State-funded secondary,14.5
3540,201718,E08000022,State-funded secondary,10.9
3544,201718,E06000050,State-funded secondary,10.0
3549,201718,E08000011,State-funded secondary,34.1
3550,201718,E08000005,State-funded secondary,19.1
3551,201718,E08000033,State-funded secondary,12.2
3552,201718,E10000023,State-funded secondary,6.7
3553,201718,E08000023,State-funded secondary,17.6
3568,201718,E06000007,State-funded secondary,9.3
3569,201718,E06000005,State-funded secondary,13.5
3572,201718,E06000008,State-funded secondary,14.5
3573,201718,E08000012,State-funded secondary,22.4
3574,201718,E08000034,State-funded secondary,20.1
3580,201718,E06000001,State-funded secondary,23.8
3583,201718,E08000016,State-funded secondary,16.5
3584,201718,E08000036,State-funded secondary,12.6
3585,201718,E08000014,State-funded secondary,13.7
3594,201718,E06000048,State-funded secondary,11.4
3595,201718,E08000003,State-funded secondary,23.6
3596,201718,E08000032,State-funded secondary,18.3
3597,201718,E06000009,State-funded secondary,24.8
3599,201718,E08000006,State-funded secondary,20.6
3600,201718,E06000014,State-funded secondary,6.4
3604,201718,E06000002,State-funded secondary,23.9
3612,201718,E08000004,State-funded secondary,17.2
3613,201718,E10000017,State-funded secondary,12.2
3614,201718,E06000013,State-funded secondary,13.3
3615,201718,E08000021,State-funded secondary,22.9
3620,201718,E06000049,State-funded secondary,7.5
3621,201718,E08000024,State-funded secondary,21.3
3625,201718,E08000009,State-funded special school,31.8
3626,201718,E06000003,State-funded special school,46.0
3627,201718,E08000017,State-funded special school,34.2
3628,201718,E06000004,State-funded special school,41.1
3630,201718,E10000017,State-funded special school,35.9
3638,201718,E08000024,State-funded special school,43.5
3649,201718,E08000013,State-funded special school,42.1
3650,201718,E08000007,State-funded special school,34.0
3651,201718,E08000035,State-funded special school,39.0
3654,201718,E10000006,State-funded special school,31.1
3655,201718,E08000015,State-funded special school,43.0
3656,201718,E06000010,State-funded special school,46.7
3657,201718,E08000001,State-funded special school,35.5
3658,201718,E08000018,State-funded special school,37.8
3659,201718,E06000011,State-funded special school,31.2
3665,201718,E08000010,State-funded special school,34.2
3666,201718,E06000006,State-funded special school,44.2
3667,201718,E08000019,State-funded special school,45.4
3671,201718,E08000021,State-funded special school,50.9
3683,201718,E06000012,State-funded special school,39.6
3684,201718,E06000047,State-funded special school,45.6
3687,201718,E06000048,State-funded special school,38.1
3690,201718,E08000022,State-funded special school,36.3
3693,201718,E06000050,State-funded special school,36.7
3695,201718,E08000002,State-funded special school,31.7
3700,201718,E08000011,State-funded special school,55.6
3701,201718,E08000033,State-funded special school,27.3
