Financial Year,geography_name,geography_code,Age of the Youngest Child in the Family of the Individual,variable_name,value
2021-22,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2547502.0
1994-95,North East,E12000001,0 to 4,In low income (below threshold),171163.0
1994-95,North East,E12000001,11 to 15,In low income (below threshold),50329.0
1994-95,North East,E12000001,16 to 19,In low income (below threshold),4518.0
1994-95,North East,E12000001,5 to 10,In low income (below threshold),89027.0
1994-95,North East,E12000001,No children in the family,In low income (below threshold),264297.0
1994-95,North West,E12000002,0 to 4,In low income (below threshold),517004.0
1994-95,North West,E12000002,11 to 15,In low income (below threshold),98862.0
1994-95,North West,E12000002,16 to 19,In low income (below threshold),27707.0
1994-95,North West,E12000002,5 to 10,In low income (below threshold),177199.0
1994-95,North West,E12000002,No children in the family,In low income (below threshold),623638.0
1994-95,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),299744.0
1994-95,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),68803.0
1994-95,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),32707.0
1994-95,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),223549.0
1994-95,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),515022.0
1995-96,North East,E12000001,0 to 4,In low income (below threshold),175537.0
1995-96,North East,E12000001,11 to 15,In low income (below threshold),57151.0
1995-96,North East,E12000001,16 to 19,In low income (below threshold),7186.0
1995-96,North East,E12000001,5 to 10,In low income (below threshold),100088.0
1995-96,North East,E12000001,No children in the family,In low income (below threshold),296885.0
1995-96,North West,E12000002,0 to 4,In low income (below threshold),331233.0
1995-96,North West,E12000002,11 to 15,In low income (below threshold),122223.0
1995-96,North West,E12000002,16 to 19,In low income (below threshold),29531.0
1995-96,North West,E12000002,5 to 10,In low income (below threshold),225457.0
1995-96,North West,E12000002,No children in the family,In low income (below threshold),559675.0
1995-96,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),304199.0
1995-96,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),63641.0
1995-96,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),6498.0
1995-96,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),175155.0
1995-96,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),518220.0
1996-97,North East,E12000001,0 to 4,In low income (below threshold),172404.0
1996-97,North East,E12000001,11 to 15,In low income (below threshold),71136.0
1996-97,North East,E12000001,16 to 19,In low income (below threshold),10669.0
1996-97,North East,E12000001,5 to 10,In low income (below threshold),72979.0
1996-97,North East,E12000001,No children in the family,In low income (below threshold),282370.0
1996-97,North West,E12000002,0 to 4,In low income (below threshold),406658.0
1996-97,North West,E12000002,11 to 15,In low income (below threshold),126295.0
1996-97,North West,E12000002,16 to 19,In low income (below threshold),35590.0
1996-97,North West,E12000002,5 to 10,In low income (below threshold),244765.0
1996-97,North West,E12000002,No children in the family,In low income (below threshold),641499.0
1996-97,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),327530.0
1996-97,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),70088.0
1996-97,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),13469.0
1996-97,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),217775.0
1996-97,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),476387.0
1997-98,North East,E12000001,0 to 4,In low income (below threshold),172468.0
1997-98,North East,E12000001,11 to 15,In low income (below threshold),44520.0
1997-98,North East,E12000001,16 to 19,In low income (below threshold),9997.0
1997-98,North East,E12000001,5 to 10,In low income (below threshold),109067.0
1997-98,North East,E12000001,No children in the family,In low income (below threshold),273024.0
1997-98,North West,E12000002,0 to 4,In low income (below threshold),429494.0
1997-98,North West,E12000002,11 to 15,In low income (below threshold),119233.0
1997-98,North West,E12000002,16 to 19,In low income (below threshold),20646.0
1997-98,North West,E12000002,5 to 10,In low income (below threshold),257160.0
1997-98,North West,E12000002,No children in the family,In low income (below threshold),653935.0
1997-98,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),327155.0
1997-98,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),91452.0
1997-98,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),8281.0
1997-98,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),175988.0
1997-98,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),509319.0
1998-99,North East,E12000001,0 to 4,In low income (below threshold),183895.0
1998-99,North East,E12000001,11 to 15,In low income (below threshold),78296.0
1998-99,North East,E12000001,16 to 19,In low income (below threshold),13303.0
1998-99,North East,E12000001,5 to 10,In low income (below threshold),102429.0
1998-99,North East,E12000001,No children in the family,In low income (below threshold),283565.0
1998-99,North West,E12000002,0 to 4,In low income (below threshold),454280.0
1998-99,North West,E12000002,11 to 15,In low income (below threshold),135969.0
1998-99,North West,E12000002,16 to 19,In low income (below threshold),20039.0
1998-99,North West,E12000002,5 to 10,In low income (below threshold),323927.0
1998-99,North West,E12000002,No children in the family,In low income (below threshold),661695.0
1998-99,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),342611.0
1998-99,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),69437.0
1998-99,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),17289.0
1998-99,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),203300.0
1998-99,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),554990.0
1999-00,North East,E12000001,0 to 4,In low income (below threshold),150977.0
1999-00,North East,E12000001,11 to 15,In low income (below threshold),69758.0
1999-00,North East,E12000001,16 to 19,In low income (below threshold),11304.0
1999-00,North East,E12000001,5 to 10,In low income (below threshold),79908.0
1999-00,North East,E12000001,No children in the family,In low income (below threshold),343183.0
1999-00,North West,E12000002,0 to 4,In low income (below threshold),402899.0
1999-00,North West,E12000002,11 to 15,In low income (below threshold),141043.0
1999-00,North West,E12000002,16 to 19,In low income (below threshold),28161.0
1999-00,North West,E12000002,5 to 10,In low income (below threshold),229454.0
1999-00,North West,E12000002,No children in the family,In low income (below threshold),607312.0
1999-00,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),344965.0
1999-00,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),87796.0
1999-00,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),27580.0
1999-00,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),159624.0
1999-00,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),498882.0
2000-01,North East,E12000001,0 to 4,In low income (below threshold),139606.0
2000-01,North East,E12000001,11 to 15,In low income (below threshold),69054.0
2000-01,North East,E12000001,16 to 19,In low income (below threshold),19295.0
2000-01,North East,E12000001,5 to 10,In low income (below threshold),92516.0
2000-01,North East,E12000001,No children in the family,In low income (below threshold),294988.0
2000-01,North West,E12000002,0 to 4,In low income (below threshold),355780.0
2000-01,North West,E12000002,11 to 15,In low income (below threshold),128114.0
2000-01,North West,E12000002,16 to 19,In low income (below threshold),27681.0
2000-01,North West,E12000002,5 to 10,In low income (below threshold),157153.0
2000-01,North West,E12000002,No children in the family,In low income (below threshold),672539.0
2000-01,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),280885.0
2000-01,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),74335.0
2000-01,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),11042.0
2000-01,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),153444.0
2000-01,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),490936.0
2001-02,North East,E12000001,0 to 4,In low income (below threshold),125351.0
2001-02,North East,E12000001,11 to 15,In low income (below threshold),60156.0
2001-02,North East,E12000001,16 to 19,In low income (below threshold),11943.0
2001-02,North East,E12000001,5 to 10,In low income (below threshold),69959.0
2001-02,North East,E12000001,No children in the family,In low income (below threshold),265634.0
2001-02,North West,E12000002,0 to 4,In low income (below threshold),386409.0
2001-02,North West,E12000002,11 to 15,In low income (below threshold),101543.0
2001-02,North West,E12000002,16 to 19,In low income (below threshold),26574.0
2001-02,North West,E12000002,5 to 10,In low income (below threshold),208095.0
2001-02,North West,E12000002,No children in the family,In low income (below threshold),676885.0
2001-02,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),230663.0
2001-02,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),93207.0
2001-02,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),32666.0
2001-02,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),185812.0
2001-02,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),507469.0
2002-03,North East,E12000001,0 to 4,In low income (below threshold),139023.0
2002-03,North East,E12000001,11 to 15,In low income (below threshold),64511.0
2002-03,North East,E12000001,16 to 19,In low income (below threshold),3441.0
2002-03,North East,E12000001,5 to 10,In low income (below threshold),109357.0
2002-03,North East,E12000001,No children in the family,In low income (below threshold),267868.0
2002-03,North West,E12000002,0 to 4,In low income (below threshold),308284.0
2002-03,North West,E12000002,11 to 15,In low income (below threshold),127023.0
2002-03,North West,E12000002,16 to 19,In low income (below threshold),22902.0
2002-03,North West,E12000002,5 to 10,In low income (below threshold),211166.0
2002-03,North West,E12000002,No children in the family,In low income (below threshold),605318.0
2002-03,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),249390.0
2002-03,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),66596.0
2002-03,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),22416.0
2002-03,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),154396.0
2002-03,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),456390.0
2003-04,North East,E12000001,0 to 4,In low income (below threshold),128562.0
2003-04,North East,E12000001,11 to 15,In low income (below threshold),45994.0
2003-04,North East,E12000001,16 to 19,In low income (below threshold),4504.0
2003-04,North East,E12000001,5 to 10,In low income (below threshold),91703.0
2003-04,North East,E12000001,No children in the family,In low income (below threshold),247155.0
2003-04,North West,E12000002,0 to 4,In low income (below threshold),306702.0
2003-04,North West,E12000002,11 to 15,In low income (below threshold),154400.0
2003-04,North West,E12000002,16 to 19,In low income (below threshold),29076.0
2003-04,North West,E12000002,5 to 10,In low income (below threshold),188540.0
2003-04,North West,E12000002,No children in the family,In low income (below threshold),597163.0
2003-04,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),233968.0
2003-04,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),96004.0
2003-04,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),16635.0
2003-04,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),151870.0
2003-04,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),451130.0
2004-05,North East,E12000001,0 to 4,In low income (below threshold),145956.0
2004-05,North East,E12000001,11 to 15,In low income (below threshold),52425.0
2004-05,North East,E12000001,16 to 19,In low income (below threshold),15889.0
2004-05,North East,E12000001,5 to 10,In low income (below threshold),82357.0
2004-05,North East,E12000001,No children in the family,In low income (below threshold),232719.0
2004-05,North West,E12000002,0 to 4,In low income (below threshold),245967.0
2004-05,North West,E12000002,11 to 15,In low income (below threshold),110707.0
2004-05,North West,E12000002,16 to 19,In low income (below threshold),22439.0
2004-05,North West,E12000002,5 to 10,In low income (below threshold),214347.0
2004-05,North West,E12000002,No children in the family,In low income (below threshold),620626.0
2004-05,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),178198.0
2004-05,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),129993.0
2004-05,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),2583.0
2004-05,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),158199.0
2004-05,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),419646.0
2005-06,North East,E12000001,0 to 4,In low income (below threshold),76652.0
2005-06,North East,E12000001,11 to 15,In low income (below threshold),67595.0
2005-06,North East,E12000001,16 to 19,In low income (below threshold),9852.0
2005-06,North East,E12000001,5 to 10,In low income (below threshold),99272.0
2005-06,North East,E12000001,No children in the family,In low income (below threshold),235672.0
2005-06,North West,E12000002,0 to 4,In low income (below threshold),305730.0
2005-06,North West,E12000002,11 to 15,In low income (below threshold),143990.0
2005-06,North West,E12000002,16 to 19,In low income (below threshold),36696.0
2005-06,North West,E12000002,5 to 10,In low income (below threshold),200262.0
2005-06,North West,E12000002,No children in the family,In low income (below threshold),668280.0
2005-06,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),230939.0
2005-06,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),83617.0
2005-06,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),28424.0
2005-06,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),162021.0
2005-06,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),475398.0
2006-07,North East,E12000001,0 to 4,In low income (below threshold),112393.0
2006-07,North East,E12000001,11 to 15,In low income (below threshold),45515.0
2006-07,North East,E12000001,16 to 19,In low income (below threshold),7743.0
2006-07,North East,E12000001,5 to 10,In low income (below threshold),101881.0
2006-07,North East,E12000001,No children in the family,In low income (below threshold),258677.0
2006-07,North West,E12000002,0 to 4,In low income (below threshold),316404.0
2006-07,North West,E12000002,11 to 15,In low income (below threshold),119169.0
2006-07,North West,E12000002,16 to 19,In low income (below threshold),20107.0
2006-07,North West,E12000002,5 to 10,In low income (below threshold),217805.0
2006-07,North West,E12000002,No children in the family,In low income (below threshold),732855.0
2006-07,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),235222.0
2006-07,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),90586.0
2006-07,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),14654.0
2006-07,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),163710.0
2006-07,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),536437.0
2007-08,North East,E12000001,0 to 4,In low income (below threshold),128507.0
2007-08,North East,E12000001,11 to 15,In low income (below threshold),48446.0
2007-08,North East,E12000001,16 to 19,In low income (below threshold),12074.0
2007-08,North East,E12000001,5 to 10,In low income (below threshold),78623.0
2007-08,North East,E12000001,No children in the family,In low income (below threshold),320644.0
2007-08,North West,E12000002,0 to 4,In low income (below threshold),388325.0
2007-08,North West,E12000002,11 to 15,In low income (below threshold),168879.0
2007-08,North West,E12000002,16 to 19,In low income (below threshold),39970.0
2007-08,North West,E12000002,5 to 10,In low income (below threshold),177859.0
2007-08,North West,E12000002,No children in the family,In low income (below threshold),652918.0
2007-08,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),242117.0
2007-08,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),86614.0
2007-08,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),22547.0
2007-08,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),171545.0
2007-08,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),487881.0
2008-09,North East,E12000001,0 to 4,In low income (below threshold),122958.0
2008-09,North East,E12000001,11 to 15,In low income (below threshold),41244.0
2008-09,North East,E12000001,16 to 19,In low income (below threshold),17140.0
2008-09,North East,E12000001,5 to 10,In low income (below threshold),86867.0
2008-09,North East,E12000001,No children in the family,In low income (below threshold),265488.0
2008-09,North West,E12000002,0 to 4,In low income (below threshold),290857.0
2008-09,North West,E12000002,11 to 15,In low income (below threshold),107728.0
2008-09,North West,E12000002,16 to 19,In low income (below threshold),21777.0
2008-09,North West,E12000002,5 to 10,In low income (below threshold),241469.0
2008-09,North West,E12000002,No children in the family,In low income (below threshold),586688.0
2008-09,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),277106.0
2008-09,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),124906.0
2008-09,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),13206.0
2008-09,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),130471.0
2008-09,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),539437.0
2009-10,North East,E12000001,0 to 4,In low income (below threshold),79735.0
2009-10,North East,E12000001,11 to 15,In low income (below threshold),41161.0
2009-10,North East,E12000001,16 to 19,In low income (below threshold),12959.0
2009-10,North East,E12000001,5 to 10,In low income (below threshold),88196.0
2009-10,North East,E12000001,No children in the family,In low income (below threshold),269556.0
2009-10,North West,E12000002,0 to 4,In low income (below threshold),268342.0
2009-10,North West,E12000002,11 to 15,In low income (below threshold),114356.0
2009-10,North West,E12000002,16 to 19,In low income (below threshold),60505.0
2009-10,North West,E12000002,5 to 10,In low income (below threshold),167353.0
2009-10,North West,E12000002,No children in the family,In low income (below threshold),618590.0
2009-10,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),206871.0
2009-10,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),91560.0
2009-10,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),48360.0
2009-10,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),146153.0
2009-10,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),543099.0
2010-11,North East,E12000001,0 to 4,In low income (below threshold),101175.0
2010-11,North East,E12000001,11 to 15,In low income (below threshold),41585.0
2010-11,North East,E12000001,16 to 19,In low income (below threshold),13526.0
2010-11,North East,E12000001,5 to 10,In low income (below threshold),71310.0
2010-11,North East,E12000001,No children in the family,In low income (below threshold),220923.0
2010-11,North West,E12000002,0 to 4,In low income (below threshold),243181.0
2010-11,North West,E12000002,11 to 15,In low income (below threshold),134845.0
2010-11,North West,E12000002,16 to 19,In low income (below threshold),46240.0
2010-11,North West,E12000002,5 to 10,In low income (below threshold),157442.0
2010-11,North West,E12000002,No children in the family,In low income (below threshold),624364.0
2010-11,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),248189.0
2010-11,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),134134.0
2010-11,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),31558.0
2010-11,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),125651.0
2010-11,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),498945.0
2011-12,North East,E12000001,0 to 4,In low income (below threshold),88902.0
2011-12,North East,E12000001,11 to 15,In low income (below threshold),45304.0
2011-12,North East,E12000001,16 to 19,In low income (below threshold),11582.0
2011-12,North East,E12000001,5 to 10,In low income (below threshold),47235.0
2011-12,North East,E12000001,No children in the family,In low income (below threshold),284216.0
2011-12,North West,E12000002,0 to 4,In low income (below threshold),298593.0
2011-12,North West,E12000002,11 to 15,In low income (below threshold),98410.0
2011-12,North West,E12000002,16 to 19,In low income (below threshold),35943.0
2011-12,North West,E12000002,5 to 10,In low income (below threshold),178211.0
2011-12,North West,E12000002,No children in the family,In low income (below threshold),602224.0
2011-12,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),247974.0
2011-12,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),104457.0
2011-12,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),17080.0
2011-12,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),60647.0
2011-12,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),528620.0
2012-13,North East,E12000001,0 to 4,In low income (below threshold),81119.0
2012-13,North East,E12000001,11 to 15,In low income (below threshold),43716.0
2012-13,North East,E12000001,16 to 19,In low income (below threshold),28671.0
2012-13,North East,E12000001,5 to 10,In low income (below threshold),65370.0
2012-13,North East,E12000001,No children in the family,In low income (below threshold),224542.0
2012-13,North West,E12000002,0 to 4,In low income (below threshold),286047.0
2012-13,North West,E12000002,11 to 15,In low income (below threshold),75885.0
2012-13,North West,E12000002,16 to 19,In low income (below threshold),54632.0
2012-13,North West,E12000002,5 to 10,In low income (below threshold),176821.0
2012-13,North West,E12000002,No children in the family,In low income (below threshold),635858.0
2012-13,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),238251.0
2012-13,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),115345.0
2012-13,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),25433.0
2012-13,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),101227.0
2012-13,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),526171.0
2013-14,North East,E12000001,0 to 4,In low income (below threshold),62978.0
2013-14,North East,E12000001,11 to 15,In low income (below threshold),11167.0
2013-14,North East,E12000001,16 to 19,In low income (below threshold),37963.0
2013-14,North East,E12000001,5 to 10,In low income (below threshold),49851.0
2013-14,North East,E12000001,No children in the family,In low income (below threshold),262470.0
2013-14,North West,E12000002,0 to 4,In low income (below threshold),213245.0
2013-14,North West,E12000002,11 to 15,In low income (below threshold),148961.0
2013-14,North West,E12000002,16 to 19,In low income (below threshold),50542.0
2013-14,North West,E12000002,5 to 10,In low income (below threshold),137009.0
2013-14,North West,E12000002,No children in the family,In low income (below threshold),625344.0
2013-14,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),160949.0
2013-14,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),82077.0
2013-14,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),71111.0
2013-14,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),101351.0
2013-14,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),462312.0
2014-15,North East,E12000001,0 to 4,In low income (below threshold),99692.0
2014-15,North East,E12000001,11 to 15,In low income (below threshold),43736.0
2014-15,North East,E12000001,16 to 19,In low income (below threshold),20699.0
2014-15,North East,E12000001,5 to 10,In low income (below threshold),52364.0
2014-15,North East,E12000001,No children in the family,In low income (below threshold),284284.0
2014-15,North West,E12000002,0 to 4,In low income (below threshold),299429.0
2014-15,North West,E12000002,11 to 15,In low income (below threshold),140289.0
2014-15,North West,E12000002,16 to 19,In low income (below threshold),39198.0
2014-15,North West,E12000002,5 to 10,In low income (below threshold),152845.0
2014-15,North West,E12000002,No children in the family,In low income (below threshold),688999.0
2014-15,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),222993.0
2014-15,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),109174.0
2014-15,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),28215.0
2014-15,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),138864.0
2014-15,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),480106.0
2015-16,North East,E12000001,0 to 4,In low income (below threshold),111340.0
2015-16,North East,E12000001,11 to 15,In low income (below threshold),41478.0
2015-16,North East,E12000001,16 to 19,In low income (below threshold),37422.0
2015-16,North East,E12000001,5 to 10,In low income (below threshold),49600.0
2015-16,North East,E12000001,No children in the family,In low income (below threshold),233976.0
2015-16,North West,E12000002,0 to 4,In low income (below threshold),325127.0
2015-16,North West,E12000002,11 to 15,In low income (below threshold),93585.0
2015-16,North West,E12000002,16 to 19,In low income (below threshold),22209.0
2015-16,North West,E12000002,5 to 10,In low income (below threshold),174490.0
2015-16,North West,E12000002,No children in the family,In low income (below threshold),668431.0
2015-16,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),243680.0
2015-16,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),86750.0
2015-16,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),26149.0
2015-16,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),150424.0
2015-16,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),489482.0
2016-17,North East,E12000001,0 to 4,In low income (below threshold),106600.0
2016-17,North East,E12000001,11 to 15,In low income (below threshold),47403.0
2016-17,North East,E12000001,16 to 19,In low income (below threshold),23481.0
2016-17,North East,E12000001,5 to 10,In low income (below threshold),79592.0
2016-17,North East,E12000001,No children in the family,In low income (below threshold),232330.0
2016-17,North West,E12000002,0 to 4,In low income (below threshold),316713.0
2016-17,North West,E12000002,11 to 15,In low income (below threshold),97122.0
2016-17,North West,E12000002,16 to 19,In low income (below threshold),31030.0
2016-17,North West,E12000002,5 to 10,In low income (below threshold),210815.0
2016-17,North West,E12000002,No children in the family,In low income (below threshold),703597.0
2016-17,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),195298.0
2016-17,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),84191.0
2016-17,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),41976.0
2016-17,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),120454.0
2016-17,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),508396.0
2017-18,North East,E12000001,0 to 4,In low income (below threshold),113983.0
2017-18,North East,E12000001,11 to 15,In low income (below threshold),26934.0
2017-18,North East,E12000001,16 to 19,In low income (below threshold),14596.0
2017-18,North East,E12000001,5 to 10,In low income (below threshold),68633.0
2017-18,North East,E12000001,No children in the family,In low income (below threshold),284358.0
2017-18,North West,E12000002,0 to 4,In low income (below threshold),393636.0
2017-18,North West,E12000002,11 to 15,In low income (below threshold),147324.0
2017-18,North West,E12000002,16 to 19,In low income (below threshold),35986.0
2017-18,North West,E12000002,5 to 10,In low income (below threshold),154771.0
2017-18,North West,E12000002,No children in the family,In low income (below threshold),688811.0
2017-18,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),333929.0
2017-18,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),88092.0
2017-18,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),18595.0
2017-18,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),122092.0
2017-18,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),521946.0
2018-19,North East,E12000001,0 to 4,In low income (below threshold),130510.0
2018-19,North East,E12000001,11 to 15,In low income (below threshold),19394.0
2018-19,North East,E12000001,16 to 19,In low income (below threshold),28703.0
2018-19,North East,E12000001,5 to 10,In low income (below threshold),78502.0
2018-19,North East,E12000001,No children in the family,In low income (below threshold),252130.0
2018-19,North West,E12000002,0 to 4,In low income (below threshold),336840.0
2018-19,North West,E12000002,11 to 15,In low income (below threshold),89513.0
2018-19,North West,E12000002,16 to 19,In low income (below threshold),41274.0
2018-19,North West,E12000002,5 to 10,In low income (below threshold),204471.0
2018-19,North West,E12000002,No children in the family,In low income (below threshold),660202.0
2018-19,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),332369.0
2018-19,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),89470.0
2018-19,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),55663.0
2018-19,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),132680.0
2018-19,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),580875.0
2019-20,North East,E12000001,0 to 4,In low income (below threshold),194513.0
2019-20,North East,E12000001,11 to 15,In low income (below threshold),39718.0
2019-20,North East,E12000001,16 to 19,In low income (below threshold),8962.0
2019-20,North East,E12000001,5 to 10,In low income (below threshold),128085.0
2019-20,North East,E12000001,No children in the family,In low income (below threshold),293459.0
2019-20,North West,E12000002,0 to 4,In low income (below threshold),319148.0
2019-20,North West,E12000002,11 to 15,In low income (below threshold),126898.0
2019-20,North West,E12000002,16 to 19,In low income (below threshold),51502.0
2019-20,North West,E12000002,5 to 10,In low income (below threshold),165565.0
2019-20,North West,E12000002,No children in the family,In low income (below threshold),669972.0
2019-20,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),282252.0
2019-20,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),98726.0
