Financial Year,geography_name,geography_code,Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),variable_name,value
2013-14,North West,E12000002,White,Not in low income,5408129.0
2013-14,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,268922.0
2013-14,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,60979.0
2013-14,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,29048.0
2013-14,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2013-14,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,18237.0
2013-14,Yorkshire and The Humber,E12000003,White,Not in low income,3985438.0
2014-15,North East,E12000001,Asian/ Asian British,Not in low income,28976.0
2014-15,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,15779.0
2014-15,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,8166.0
2014-15,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2014-15,North East,E12000001,Other Ethnic Group,Not in low income,6210.0
2014-15,North East,E12000001,White,Not in low income,2012168.0
2014-15,North West,E12000002,Asian/ Asian British,Not in low income,218460.0
2014-15,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,91222.0
2014-15,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,28316.0
2014-15,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2014-15,North West,E12000002,Other Ethnic Group,Not in low income,54905.0
2014-15,North West,E12000002,White,Not in low income,5296501.0
2014-15,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,158750.0
2014-15,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,40268.0
2014-15,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,20854.0
2014-15,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2014-15,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,29409.0
2014-15,Yorkshire and The Humber,E12000003,White,Not in low income,4033850.0
2015-16,North East,E12000001,Asian/ Asian British,Not in low income,25754.0
2015-16,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,6672.0
2015-16,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2015-16,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2015-16,North East,E12000001,Other Ethnic Group,Not in low income,16899.0
2015-16,North East,E12000001,White,Not in low income,2058727.0
2015-16,North West,E12000002,Asian/ Asian British,Not in low income,408591.0
2015-16,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,64888.0
2015-16,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,34287.0
2015-16,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2015-16,North West,E12000002,Other Ethnic Group,Not in low income,52058.0
2015-16,North West,E12000002,White,Not in low income,5197409.0
2015-16,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,276798.0
2015-16,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,25215.0
2015-16,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,16205.0
2015-16,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2015-16,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,50631.0
2015-16,Yorkshire and The Humber,E12000003,White,Not in low income,3923393.0
2016-17,North East,E12000001,Asian/ Asian British,Not in low income,46510.0
2016-17,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,9641.0
2016-17,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,5886.0
2016-17,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2016-17,North East,E12000001,Other Ethnic Group,Not in low income,14477.0
2016-17,North East,E12000001,White,Not in low income,2024620.0
2016-17,North West,E12000002,Asian/ Asian British,Not in low income,320801.0
2016-17,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,61489.0
2016-17,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,49114.0
2016-17,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2016-17,North West,E12000002,Other Ethnic Group,Not in low income,55808.0
2016-17,North West,E12000002,White,Not in low income,5221692.0
2016-17,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,163901.0
2016-17,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,46602.0
2016-17,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,26141.0
2016-17,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2016-17,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,51706.0
2016-17,Yorkshire and The Humber,E12000003,White,Not in low income,4073279.0
2017-18,North East,E12000001,Asian/ Asian British,Not in low income,58106.0
2017-18,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,6401.0
2017-18,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,16139.0
2017-18,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2017-18,North East,E12000001,Other Ethnic Group,Not in low income,40584.0
2017-18,North East,E12000001,White,Not in low income,1967863.0
2017-18,North West,E12000002,Asian/ Asian British,Not in low income,337506.0
2017-18,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,83218.0
2017-18,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,39951.0
2017-18,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2017-18,North West,E12000002,Other Ethnic Group,Not in low income,30319.0
2017-18,North West,E12000002,White,Not in low income,5220686.0
2017-18,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,145370.0
2017-18,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,39184.0
2017-18,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,12238.0
2017-18,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2017-18,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,36068.0
2017-18,Yorkshire and The Humber,E12000003,White,Not in low income,4033483.0
2018-19,North East,E12000001,Asian/ Asian British,Not in low income,86754.0
2018-19,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,12743.0
2018-19,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,6289.0
2018-19,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2018-19,North East,E12000001,Other Ethnic Group,Not in low income,0.0
2018-19,North East,E12000001,White,Not in low income,2000554.0
2018-19,North West,E12000002,Asian/ Asian British,Not in low income,343428.0
2018-19,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,73541.0
2018-19,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,142219.0
2018-19,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2018-19,North West,E12000002,Other Ethnic Group,Not in low income,45752.0
2018-19,North West,E12000002,White,Not in low income,5255999.0
2018-19,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,329289.0
2018-19,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,59595.0
2018-19,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,26815.0
2018-19,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2018-19,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,48438.0
2018-19,Yorkshire and The Humber,E12000003,White,Not in low income,3748928.0
2019-20,North East,E12000001,Asian/ Asian British,Not in low income,95139.0
2019-20,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,13225.0
2019-20,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,6208.0
2019-20,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2019-20,North East,E12000001,Other Ethnic Group,Not in low income,5335.0
2019-20,North East,E12000001,White,Not in low income,1837360.0
2019-20,North West,E12000002,Asian/ Asian British,Not in low income,362580.0
2019-20,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,152320.0
2019-20,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,53836.0
2019-20,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2019-20,North West,E12000002,Other Ethnic Group,Not in low income,54044.0
2019-20,North West,E12000002,White,Not in low income,5257618.0
2019-20,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,259128.0
2019-20,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,137270.0
2019-20,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,57139.0
2019-20,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2019-20,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,34344.0
2019-20,Yorkshire and The Humber,E12000003,White,Not in low income,3754879.0
2020-21,North East,E12000001,Asian/ Asian British,Not in low income,0.0
2020-21,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2020-21,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2020-21,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2020-21,North East,E12000001,Other Ethnic Group,Not in low income,0.0
2020-21,North East,E12000001,White,Not in low income,0.0
2020-21,North West,E12000002,Asian/ Asian British,Not in low income,0.0
2020-21,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2020-21,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2020-21,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2020-21,North West,E12000002,Other Ethnic Group,Not in low income,0.0
2020-21,North West,E12000002,White,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,White,Not in low income,0.0
2021-22,North East,E12000001,Asian/ Asian British,Not in low income,42017.0
2021-22,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,7587.0
2021-22,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,15034.0
2021-22,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2021-22,North East,E12000001,Other Ethnic Group,Not in low income,11812.0
2021-22,North East,E12000001,White,Not in low income,2117686.0
2021-22,North West,E12000002,Asian/ Asian British,Not in low income,519961.0
2021-22,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,100753.0
2021-22,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,93331.0
2021-22,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2021-22,North West,E12000002,Other Ethnic Group,Not in low income,83508.0
2021-22,North West,E12000002,White,Not in low income,5066518.0
2021-22,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,240378.0
2021-22,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,97058.0
2021-22,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,52655.0
2021-22,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,15543.0
2021-22,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,89853.0
2021-22,Yorkshire and The Humber,E12000003,White,Not in low income,3909480.0
1994-95,North East,E12000001,Asian/ Asian British,In low income (below threshold),16413.0
1994-95,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
1994-95,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1994-95,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1994-95,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
1994-95,North East,E12000001,White,In low income (below threshold),562921.0
1994-95,North West,E12000002,Asian/ Asian British,In low income (below threshold),129624.0
1994-95,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),14304.0
1994-95,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1994-95,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1994-95,North West,E12000002,Other Ethnic Group,In low income (below threshold),7930.0
1994-95,North West,E12000002,White,In low income (below threshold),1292552.0
1994-95,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),63059.0
1994-95,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),2214.0
1994-95,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1994-95,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1994-95,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),8251.0
1994-95,Yorkshire and The Humber,E12000003,White,In low income (below threshold),1066301.0
1995-96,North East,E12000001,Asian/ Asian British,In low income (below threshold),37768.0
1995-96,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
1995-96,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1995-96,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1995-96,North East,E12000001,Other Ethnic Group,In low income (below threshold),7126.0
1995-96,North East,E12000001,White,In low income (below threshold),591953.0
1995-96,North West,E12000002,Asian/ Asian British,In low income (below threshold),85809.0
1995-96,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),8826.0
1995-96,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1995-96,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1995-96,North West,E12000002,Other Ethnic Group,In low income (below threshold),13776.0
1995-96,North West,E12000002,White,In low income (below threshold),1159708.0
1995-96,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),154082.0
1995-96,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),9204.0
1995-96,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1995-96,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1995-96,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),10908.0
1995-96,Yorkshire and The Humber,E12000003,White,In low income (below threshold),893519.0
1996-97,North East,E12000001,Asian/ Asian British,In low income (below threshold),8808.0
1996-97,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),2944.0
1996-97,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1996-97,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1996-97,North East,E12000001,Other Ethnic Group,In low income (below threshold),1674.0
1996-97,North East,E12000001,White,In low income (below threshold),596132.0
1996-97,North West,E12000002,Asian/ Asian British,In low income (below threshold),139312.0
1996-97,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),5081.0
1996-97,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1996-97,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1996-97,North West,E12000002,Other Ethnic Group,In low income (below threshold),13001.0
1996-97,North West,E12000002,White,In low income (below threshold),1297413.0
1996-97,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),129246.0
1996-97,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),7073.0
1996-97,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1996-97,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1996-97,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),2622.0
1996-97,Yorkshire and The Humber,E12000003,White,In low income (below threshold),966308.0
1997-98,North East,E12000001,Asian/ Asian British,In low income (below threshold),9925.0
1997-98,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
1997-98,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1997-98,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1997-98,North East,E12000001,Other Ethnic Group,In low income (below threshold),9292.0
1997-98,North East,E12000001,White,In low income (below threshold),589859.0
1997-98,North West,E12000002,Asian/ Asian British,In low income (below threshold),120745.0
1997-98,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),9008.0
1997-98,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1997-98,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1997-98,North West,E12000002,Other Ethnic Group,In low income (below threshold),17974.0
1997-98,North West,E12000002,White,In low income (below threshold),1332741.0
1997-98,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),114211.0
1997-98,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),6458.0
1997-98,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1997-98,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1997-98,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),7377.0
1997-98,Yorkshire and The Humber,E12000003,White,In low income (below threshold),984149.0
1998-99,North East,E12000001,Asian/ Asian British,In low income (below threshold),7406.0
1998-99,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),1648.0
1998-99,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1998-99,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1998-99,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
1998-99,North East,E12000001,White,In low income (below threshold),652434.0
1998-99,North West,E12000002,Asian/ Asian British,In low income (below threshold),218624.0
1998-99,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),29031.0
1998-99,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1998-99,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1998-99,North West,E12000002,Other Ethnic Group,In low income (below threshold),17801.0
1998-99,North West,E12000002,White,In low income (below threshold),1330454.0
1998-99,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),96250.0
1998-99,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),14312.0
1998-99,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1998-99,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1998-99,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),7218.0
1998-99,Yorkshire and The Humber,E12000003,White,In low income (below threshold),1069847.0
1999-00,North East,E12000001,Asian/ Asian British,In low income (below threshold),8358.0
1999-00,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
1999-00,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1999-00,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1999-00,North East,E12000001,Other Ethnic Group,In low income (below threshold),3208.0
1999-00,North East,E12000001,White,In low income (below threshold),643564.0
1999-00,North West,E12000002,Asian/ Asian British,In low income (below threshold),213506.0
1999-00,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),11409.0
1999-00,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1999-00,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1999-00,North West,E12000002,Other Ethnic Group,In low income (below threshold),12830.0
1999-00,North West,E12000002,White,In low income (below threshold),1171124.0
1999-00,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),153080.0
1999-00,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),10768.0
1999-00,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
1999-00,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
1999-00,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),10789.0
1999-00,Yorkshire and The Humber,E12000003,White,In low income (below threshold),944210.0
2000-01,North East,E12000001,Asian/ Asian British,In low income (below threshold),9738.0
2000-01,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2000-01,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2000-01,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2000-01,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
2000-01,North East,E12000001,White,In low income (below threshold),605721.0
2000-01,North West,E12000002,Asian/ Asian British,In low income (below threshold),135758.0
2000-01,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),7840.0
2000-01,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2000-01,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2000-01,North West,E12000002,Other Ethnic Group,In low income (below threshold),9310.0
2000-01,North West,E12000002,White,In low income (below threshold),1188359.0
2000-01,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),122037.0
2000-01,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),16908.0
2000-01,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2000-01,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2000-01,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),12625.0
2000-01,Yorkshire and The Humber,E12000003,White,In low income (below threshold),859072.0
2001-02,North East,E12000001,Asian/ Asian British,In low income (below threshold),3965.0
2001-02,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),1273.0
2001-02,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2001-02,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2001-02,North East,E12000001,Other Ethnic Group,In low income (below threshold),5378.0
2001-02,North East,E12000001,White,In low income (below threshold),522427.0
2001-02,North West,E12000002,Asian/ Asian British,In low income (below threshold),115843.0
2001-02,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),24671.0
2001-02,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),13145.0
2001-02,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2001-02,North West,E12000002,Other Ethnic Group,In low income (below threshold),12803.0
2001-02,North West,E12000002,White,In low income (below threshold),1233044.0
2001-02,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),61396.0
2001-02,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),10819.0
2001-02,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),2729.0
2001-02,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2001-02,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),14269.0
2001-02,Yorkshire and The Humber,E12000003,White,In low income (below threshold),960604.0
2002-03,North East,E12000001,Asian/ Asian British,In low income (below threshold),30741.0
2002-03,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),3378.0
2002-03,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5309.0
2002-03,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2002-03,North East,E12000001,Other Ethnic Group,In low income (below threshold),4062.0
2002-03,North East,E12000001,White,In low income (below threshold),540710.0
2002-03,North West,E12000002,Asian/ Asian British,In low income (below threshold),114581.0
2002-03,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),19007.0
2002-03,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),10466.0
2002-03,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2002-03,North West,E12000002,Other Ethnic Group,In low income (below threshold),15580.0
2002-03,North West,E12000002,White,In low income (below threshold),1115059.0
2002-03,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),111279.0
2002-03,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),13846.0
2002-03,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5650.0
2002-03,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2002-03,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),3253.0
2002-03,Yorkshire and The Humber,E12000003,White,In low income (below threshold),815160.0
2003-04,North East,E12000001,Asian/ Asian British,In low income (below threshold),17344.0
2003-04,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),4192.0
2003-04,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2003-04,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2003-04,North East,E12000001,Other Ethnic Group,In low income (below threshold),3195.0
2003-04,North East,E12000001,White,In low income (below threshold),493187.0
2003-04,North West,E12000002,Asian/ Asian British,In low income (below threshold),124049.0
2003-04,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),9917.0
2003-04,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),12057.0
2003-04,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2003-04,North West,E12000002,Other Ethnic Group,In low income (below threshold),13791.0
2003-04,North West,E12000002,White,In low income (below threshold),1116067.0
2003-04,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),116803.0
2003-04,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),16360.0
2003-04,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),2631.0
2003-04,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2003-04,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),25240.0
2003-04,Yorkshire and The Humber,E12000003,White,In low income (below threshold),788573.0
2004-05,North East,E12000001,Asian/ Asian British,In low income (below threshold),12202.0
2004-05,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2004-05,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),4173.0
2004-05,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2004-05,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
2004-05,North East,E12000001,White,In low income (below threshold),512971.0
2004-05,North West,E12000002,Asian/ Asian British,In low income (below threshold),45897.0
2004-05,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),18633.0
2004-05,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),8151.0
