Financial Year,geography_name,geography_code,Tenure Type of the Household of the Individual,variable_name,value
2006-07,North West,E12000002,Social rented sector tenants,In low income (below threshold),450398.0
2006-07,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),164979.0
2006-07,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),575966.0
2006-07,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),299664.0
2007-08,North East,E12000001,All rented privately,In low income (below threshold),73819.0
2007-08,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),259337.0
2007-08,North East,E12000001,Social rented sector tenants,In low income (below threshold),255138.0
2007-08,North West,E12000002,All rented privately,In low income (below threshold),182545.0
2007-08,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),692831.0
2007-08,North West,E12000002,Social rented sector tenants,In low income (below threshold),552575.0
2007-08,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),144103.0
2007-08,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),550339.0
2007-08,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),316262.0
2008-09,North East,E12000001,All rented privately,In low income (below threshold),82920.0
2008-09,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),269549.0
2008-09,North East,E12000001,Social rented sector tenants,In low income (below threshold),181228.0
2008-09,North West,E12000002,All rented privately,In low income (below threshold),212609.0
2008-09,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),635688.0
2008-09,North West,E12000002,Social rented sector tenants,In low income (below threshold),400222.0
2008-09,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),187979.0
2008-09,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),570833.0
2008-09,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),326314.0
2009-10,North East,E12000001,All rented privately,In low income (below threshold),67206.0
2009-10,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),245365.0
2009-10,North East,E12000001,Social rented sector tenants,In low income (below threshold),179036.0
2009-10,North West,E12000002,All rented privately,In low income (below threshold),248943.0
2009-10,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),614601.0
2009-10,North West,E12000002,Social rented sector tenants,In low income (below threshold),365602.0
2009-10,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),174075.0
2009-10,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),569620.0
2009-10,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),292348.0
2010-11,North East,E12000001,All rented privately,In low income (below threshold),91244.0
2010-11,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),188467.0
2010-11,North East,E12000001,Social rented sector tenants,In low income (below threshold),168808.0
2010-11,North West,E12000002,All rented privately,In low income (below threshold),266818.0
2010-11,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),603432.0
2010-11,North West,E12000002,Social rented sector tenants,In low income (below threshold),335822.0
2010-11,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),175662.0
2010-11,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),530907.0
2010-11,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),331908.0
2011-12,North East,E12000001,All rented privately,In low income (below threshold),81975.0
2011-12,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),193024.0
2011-12,North East,E12000001,Social rented sector tenants,In low income (below threshold),202240.0
2011-12,North West,E12000002,All rented privately,In low income (below threshold),240813.0
2011-12,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),636134.0
2011-12,North West,E12000002,Social rented sector tenants,In low income (below threshold),336434.0
2011-12,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),159909.0
2011-12,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),578277.0
2011-12,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),220592.0
2012-13,North East,E12000001,All rented privately,In low income (below threshold),56222.0
2012-13,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),230098.0
2012-13,North East,E12000001,Social rented sector tenants,In low income (below threshold),157098.0
2012-13,North West,E12000002,All rented privately,In low income (below threshold),288942.0
2012-13,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),575616.0
2012-13,North West,E12000002,Social rented sector tenants,In low income (below threshold),364685.0
2012-13,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),175075.0
2012-13,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),535741.0
2012-13,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),295611.0
2013-14,North East,E12000001,All rented privately,In low income (below threshold),69218.0
2013-14,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),156429.0
2013-14,North East,E12000001,Social rented sector tenants,In low income (below threshold),198782.0
2013-14,North West,E12000002,All rented privately,In low income (below threshold),248492.0
2013-14,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),553783.0
2013-14,North West,E12000002,Social rented sector tenants,In low income (below threshold),372826.0
2013-14,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),188849.0
2013-14,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),442058.0
2013-14,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),246893.0
2014-15,North East,E12000001,All rented privately,In low income (below threshold),94205.0
2014-15,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),238958.0
2014-15,North East,E12000001,Social rented sector tenants,In low income (below threshold),167612.0
2014-15,North West,E12000002,All rented privately,In low income (below threshold),295224.0
2014-15,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),594207.0
2014-15,North West,E12000002,Social rented sector tenants,In low income (below threshold),431329.0
2014-15,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),189860.0
2014-15,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),492951.0
2014-15,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),296541.0
2015-16,North East,E12000001,All rented privately,In low income (below threshold),102963.0
2015-16,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),186920.0
2015-16,North East,E12000001,Social rented sector tenants,In low income (below threshold),183933.0
2015-16,North West,E12000002,All rented privately,In low income (below threshold),300777.0
2015-16,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),615873.0
2015-16,North West,E12000002,Social rented sector tenants,In low income (below threshold),367192.0
2015-16,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),203057.0
2015-16,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),512344.0
2015-16,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),281084.0
2016-17,North East,E12000001,All rented privately,In low income (below threshold),130464.0
2016-17,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),219844.0
2016-17,North East,E12000001,Social rented sector tenants,In low income (below threshold),139098.0
2016-17,North West,E12000002,All rented privately,In low income (below threshold),257051.0
2016-17,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),742631.0
2016-17,North West,E12000002,Social rented sector tenants,In low income (below threshold),359595.0
2016-17,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),232603.0
2016-17,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),476320.0
2016-17,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),241392.0
2017-18,North East,E12000001,All rented privately,In low income (below threshold),142690.0
2017-18,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),208455.0
2017-18,North East,E12000001,Social rented sector tenants,In low income (below threshold),157359.0
2017-18,North West,E12000002,All rented privately,In low income (below threshold),300755.0
2017-18,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),696817.0
2017-18,North West,E12000002,Social rented sector tenants,In low income (below threshold),422956.0
2017-18,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),225005.0
2017-18,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),513398.0
2017-18,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),346251.0
2018-19,North East,E12000001,All rented privately,In low income (below threshold),128296.0
2018-19,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),224953.0
2018-19,North East,E12000001,Social rented sector tenants,In low income (below threshold),155990.0
2018-19,North West,E12000002,All rented privately,In low income (below threshold),288013.0
2018-19,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),713946.0
2018-19,North West,E12000002,Social rented sector tenants,In low income (below threshold),330341.0
2018-19,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),353601.0
2018-19,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),554936.0
2018-19,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),282520.0
2019-20,North East,E12000001,All rented privately,In low income (below threshold),159558.0
2019-20,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),295474.0
2019-20,North East,E12000001,Social rented sector tenants,In low income (below threshold),209705.0
2019-20,North West,E12000002,All rented privately,In low income (below threshold),290565.0
2019-20,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),628029.0
2019-20,North West,E12000002,Social rented sector tenants,In low income (below threshold),414491.0
2019-20,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),326574.0
2019-20,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),566707.0
2019-20,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),267390.0
2020-21,North East,E12000001,All rented privately,In low income (below threshold),0.0
2020-21,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),0.0
2020-21,North East,E12000001,Social rented sector tenants,In low income (below threshold),0.0
2020-21,North West,E12000002,All rented privately,In low income (below threshold),0.0
2020-21,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),0.0
2020-21,North West,E12000002,Social rented sector tenants,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),0.0
2021-22,North East,E12000001,All rented privately,In low income (below threshold),122681.0
2021-22,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),151741.0
2021-22,North East,E12000001,Social rented sector tenants,In low income (below threshold),149240.0
2021-22,North West,E12000002,All rented privately,In low income (below threshold),275155.0
2021-22,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),697815.0
2021-22,North West,E12000002,Social rented sector tenants,In low income (below threshold),393392.0
2021-22,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),212651.0
2021-22,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),558820.0
2021-22,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),253041.0
