Financial Year,geography_name,geography_code,Type of Individual by Age Category,variable_name,value
2012-13,North East,E12000001,Working-Age,In low income (below threshold),279297.0
2012-13,North West,E12000002,Child,In low income (below threshold),312955.0
2012-13,North West,E12000002,Pensioner,In low income (below threshold),197446.0
2012-13,North West,E12000002,Working-Age,In low income (below threshold),718842.0
2012-13,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),249770.0
2012-13,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),159198.0
2012-13,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),597459.0
2013-14,North East,E12000001,Child,In low income (below threshold),82625.0
2013-14,North East,E12000001,Pensioner,In low income (below threshold),68975.0
2013-14,North East,E12000001,Working-Age,In low income (below threshold),272829.0
2013-14,North West,E12000002,Child,In low income (below threshold),281545.0
2013-14,North West,E12000002,Pensioner,In low income (below threshold),200569.0
2013-14,North West,E12000002,Working-Age,In low income (below threshold),692987.0
2013-14,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),213529.0
2013-14,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),175468.0
2013-14,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),488803.0
2014-15,North East,E12000001,Child,In low income (below threshold),109452.0
2014-15,North East,E12000001,Pensioner,In low income (below threshold),76967.0
2014-15,North East,E12000001,Working-Age,In low income (below threshold),314356.0
2014-15,North West,E12000002,Child,In low income (below threshold),326371.0
2014-15,North West,E12000002,Pensioner,In low income (below threshold),245774.0
2014-15,North West,E12000002,Working-Age,In low income (below threshold),748615.0
2014-15,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),257584.0
2014-15,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),175513.0
2014-15,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),546255.0
2015-16,North East,E12000001,Child,In low income (below threshold),130598.0
2015-16,North East,E12000001,Pensioner,In low income (below threshold),92965.0
2015-16,North East,E12000001,Working-Age,In low income (below threshold),250253.0
2015-16,North West,E12000002,Child,In low income (below threshold),351262.0
2015-16,North West,E12000002,Pensioner,In low income (below threshold),236063.0
2015-16,North West,E12000002,Working-Age,In low income (below threshold),696517.0
2015-16,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),280293.0
2015-16,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),180143.0
2015-16,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),536049.0
2016-17,North East,E12000001,Child,In low income (below threshold),136245.0
2016-17,North East,E12000001,Pensioner,In low income (below threshold),84634.0
2016-17,North East,E12000001,Working-Age,In low income (below threshold),268527.0
2016-17,North West,E12000002,Child,In low income (below threshold),375283.0
2016-17,North West,E12000002,Pensioner,In low income (below threshold),243798.0
2016-17,North West,E12000002,Working-Age,In low income (below threshold),740196.0
2016-17,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),231410.0
2016-17,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),205729.0
2016-17,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),513176.0
2017-18,North East,E12000001,Child,In low income (below threshold),127785.0
2017-18,North East,E12000001,Pensioner,In low income (below threshold),76234.0
2017-18,North East,E12000001,Working-Age,In low income (below threshold),304485.0
2017-18,North West,E12000002,Child,In low income (below threshold),413627.0
2017-18,North West,E12000002,Pensioner,In low income (below threshold),252853.0
2017-18,North West,E12000002,Working-Age,In low income (below threshold),754048.0
2017-18,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),305234.0
2017-18,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),185306.0
2017-18,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),594114.0
2018-19,North East,E12000001,Child,In low income (below threshold),135374.0
2018-19,North East,E12000001,Pensioner,In low income (below threshold),82738.0
2018-19,North East,E12000001,Working-Age,In low income (below threshold),291127.0
2018-19,North West,E12000002,Child,In low income (below threshold),371301.0
2018-19,North West,E12000002,Pensioner,In low income (below threshold),260825.0
2018-19,North West,E12000002,Working-Age,In low income (below threshold),700174.0
2018-19,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),337229.0
2018-19,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),180082.0
2018-19,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),673746.0
2019-20,North East,E12000001,Child,In low income (below threshold),204209.0
2019-20,North East,E12000001,Pensioner,In low income (below threshold),88903.0
2019-20,North East,E12000001,Working-Age,In low income (below threshold),371625.0
2019-20,North West,E12000002,Child,In low income (below threshold),379766.0
2019-20,North West,E12000002,Pensioner,In low income (below threshold),258881.0
2019-20,North West,E12000002,Working-Age,In low income (below threshold),694438.0
2019-20,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),321885.0
2019-20,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),185077.0
2019-20,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),653709.0
2020-21,North East,E12000001,Child,In low income (below threshold),0.0
2020-21,North East,E12000001,Pensioner,In low income (below threshold),0.0
2020-21,North East,E12000001,Working-Age,In low income (below threshold),0.0
2020-21,North West,E12000002,Child,In low income (below threshold),0.0
2020-21,North West,E12000002,Pensioner,In low income (below threshold),0.0
2020-21,North West,E12000002,Working-Age,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),0.0
2021-22,North East,E12000001,Child,In low income (below threshold),90285.0
2021-22,North East,E12000001,Pensioner,In low income (below threshold),87398.0
2021-22,North East,E12000001,Working-Age,In low income (below threshold),245979.0
2021-22,North West,E12000002,Child,In low income (below threshold),427278.0
2021-22,North West,E12000002,Pensioner,In low income (below threshold),233934.0
2021-22,North West,E12000002,Working-Age,In low income (below threshold),705150.0
2021-22,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),246573.0
2021-22,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),188741.0
2021-22,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),589198.0
