Financial Year,geography_name,geography_code,Savings and Investments of Adults in the Family of the Individual,variable_name,value
2009-10,North East,E12000001,"Less than £1,500",Not in low income,404903.0
2009-10,North East,E12000001,No savings,Not in low income,778740.0
2009-10,North East,E12000001,"£1,500 but less than £3,000",Not in low income,157816.0
2009-10,North East,E12000001,"£10,000 but less than £16,000",Not in low income,139271.0
2009-10,North East,E12000001,"£16,000 but less than £20,000",Not in low income,52337.0
2009-10,North East,E12000001,"£20,000 or more",Not in low income,209688.0
2009-10,North East,E12000001,"£3,000 but less than £8,000",Not in low income,234762.0
2009-10,North East,E12000001,"£8,000 but less than £10,000",Not in low income,60650.0
2009-10,North West,E12000002,"Less than £1,500",Not in low income,1208349.0
2009-10,North West,E12000002,No savings,Not in low income,2084957.0
2009-10,North West,E12000002,"£1,500 but less than £3,000",Not in low income,382819.0
2009-10,North West,E12000002,"£10,000 but less than £16,000",Not in low income,310870.0
2009-10,North West,E12000002,"£16,000 but less than £20,000",Not in low income,115559.0
2009-10,North West,E12000002,"£20,000 or more",Not in low income,659315.0
2009-10,North West,E12000002,"£3,000 but less than £8,000",Not in low income,751636.0
2009-10,North West,E12000002,"£8,000 but less than £10,000",Not in low income,120493.0
2009-10,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,760041.0
2009-10,Yorkshire and The Humber,E12000003,No savings,Not in low income,1417191.0
2009-10,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,234601.0
2009-10,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,294362.0
2009-10,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,117371.0
2009-10,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,507633.0
2009-10,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,594196.0
2009-10,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,169137.0
2010-11,North East,E12000001,"Less than £1,500",Not in low income,405684.0
2010-11,North East,E12000001,No savings,Not in low income,715545.0
2010-11,North East,E12000001,"£1,500 but less than £3,000",Not in low income,151066.0
2010-11,North East,E12000001,"£10,000 but less than £16,000",Not in low income,138518.0
2010-11,North East,E12000001,"£16,000 but less than £20,000",Not in low income,42157.0
2010-11,North East,E12000001,"£20,000 or more",Not in low income,295428.0
2010-11,North East,E12000001,"£3,000 but less than £8,000",Not in low income,283725.0
2010-11,North East,E12000001,"£8,000 but less than £10,000",Not in low income,59902.0
2010-11,North West,E12000002,"Less than £1,500",Not in low income,926109.0
2010-11,North West,E12000002,No savings,Not in low income,2292775.0
2010-11,North West,E12000002,"£1,500 but less than £3,000",Not in low income,386591.0
2010-11,North West,E12000002,"£10,000 but less than £16,000",Not in low income,328107.0
2010-11,North West,E12000002,"£16,000 but less than £20,000",Not in low income,100974.0
2010-11,North West,E12000002,"£20,000 or more",Not in low income,840844.0
2010-11,North West,E12000002,"£3,000 but less than £8,000",Not in low income,677567.0
2010-11,North West,E12000002,"£8,000 but less than £10,000",Not in low income,136454.0
2010-11,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,647732.0
2010-11,Yorkshire and The Humber,E12000003,No savings,Not in low income,1506319.0
2010-11,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,305421.0
2010-11,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,248270.0
2010-11,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,90632.0
2010-11,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,673687.0
2010-11,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,515813.0
2010-11,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,135024.0
2011-12,North East,E12000001,"Less than £1,500",Not in low income,362986.0
2011-12,North East,E12000001,No savings,Not in low income,773098.0
2011-12,North East,E12000001,"£1,500 but less than £3,000",Not in low income,175124.0
2011-12,North East,E12000001,"£10,000 but less than £16,000",Not in low income,123694.0
2011-12,North East,E12000001,"£16,000 but less than £20,000",Not in low income,65675.0
2011-12,North East,E12000001,"£20,000 or more",Not in low income,230555.0
2011-12,North East,E12000001,"£3,000 but less than £8,000",Not in low income,271880.0
2011-12,North East,E12000001,"£8,000 but less than £10,000",Not in low income,82952.0
2011-12,North West,E12000002,"Less than £1,500",Not in low income,861191.0
2011-12,North West,E12000002,No savings,Not in low income,2250940.0
2011-12,North West,E12000002,"£1,500 but less than £3,000",Not in low income,372546.0
2011-12,North West,E12000002,"£10,000 but less than £16,000",Not in low income,330827.0
2011-12,North West,E12000002,"£16,000 but less than £20,000",Not in low income,106085.0
2011-12,North West,E12000002,"£20,000 or more",Not in low income,952510.0
2011-12,North West,E12000002,"£3,000 but less than £8,000",Not in low income,678874.0
2011-12,North West,E12000002,"£8,000 but less than £10,000",Not in low income,201242.0
2011-12,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,623181.0
2011-12,Yorkshire and The Humber,E12000003,No savings,Not in low income,1635427.0
2011-12,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,279172.0
2011-12,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,265050.0
2011-12,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,104269.0
2011-12,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,681480.0
2011-12,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,537196.0
2011-12,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,137047.0
2012-13,North East,E12000001,"Less than £1,500",Not in low income,288795.0
2012-13,North East,E12000001,No savings,Not in low income,960246.0
2012-13,North East,E12000001,"£1,500 but less than £3,000",Not in low income,189701.0
2012-13,North East,E12000001,"£10,000 but less than £16,000",Not in low income,106626.0
2012-13,North East,E12000001,"£16,000 but less than £20,000",Not in low income,40794.0
2012-13,North East,E12000001,"£20,000 or more",Not in low income,230131.0
2012-13,North East,E12000001,"£3,000 but less than £8,000",Not in low income,247391.0
2012-13,North East,E12000001,"£8,000 but less than £10,000",Not in low income,61945.0
2012-13,North West,E12000002,"Less than £1,500",Not in low income,821836.0
2012-13,North West,E12000002,No savings,Not in low income,2317820.0
2012-13,North West,E12000002,"£1,500 but less than £3,000",Not in low income,380508.0
2012-13,North West,E12000002,"£10,000 but less than £16,000",Not in low income,321224.0
2012-13,North West,E12000002,"£16,000 but less than £20,000",Not in low income,113598.0
2012-13,North West,E12000002,"£20,000 or more",Not in low income,934195.0
2012-13,North West,E12000002,"£3,000 but less than £8,000",Not in low income,710386.0
2012-13,North West,E12000002,"£8,000 but less than £10,000",Not in low income,166479.0
2012-13,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,596772.0
2012-13,Yorkshire and The Humber,E12000003,No savings,Not in low income,1751366.0
2012-13,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,297062.0
2012-13,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,229792.0
2012-13,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,102607.0
2012-13,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,608945.0
2012-13,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,536967.0
2012-13,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,119847.0
2013-14,North East,E12000001,"Less than £1,500",Not in low income,244045.0
2013-14,North East,E12000001,No savings,Not in low income,1049540.0
2013-14,North East,E12000001,"£1,500 but less than £3,000",Not in low income,114749.0
2013-14,North East,E12000001,"£10,000 but less than £16,000",Not in low income,97943.0
2013-14,North East,E12000001,"£16,000 but less than £20,000",Not in low income,54105.0
2013-14,North East,E12000001,"£20,000 or more",Not in low income,242241.0
2013-14,North East,E12000001,"£3,000 but less than £8,000",Not in low income,278832.0
2013-14,North East,E12000001,"£8,000 but less than £10,000",Not in low income,54692.0
2013-14,North West,E12000002,"Less than £1,500",Not in low income,758012.0
2013-14,North West,E12000002,No savings,Not in low income,2374362.0
2013-14,North West,E12000002,"£1,500 but less than £3,000",Not in low income,335690.0
2013-14,North West,E12000002,"£10,000 but less than £16,000",Not in low income,301896.0
2013-14,North West,E12000002,"£16,000 but less than £20,000",Not in low income,139782.0
2013-14,North West,E12000002,"£20,000 or more",Not in low income,944043.0
2013-14,North West,E12000002,"£3,000 but less than £8,000",Not in low income,831538.0
2013-14,North West,E12000002,"£8,000 but less than £10,000",Not in low income,120849.0
2013-14,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,583161.0
2013-14,Yorkshire and The Humber,E12000003,No savings,Not in low income,1677423.0
2013-14,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,326991.0
2013-14,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,271040.0
2013-14,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,95354.0
2013-14,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,714282.0
2013-14,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,545397.0
2013-14,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,148976.0
2014-15,North East,E12000001,"Less than £1,500",Not in low income,260462.0
2014-15,North East,E12000001,No savings,Not in low income,900127.0
2014-15,North East,E12000001,"£1,500 but less than £3,000",Not in low income,124854.0
2014-15,North East,E12000001,"£10,000 but less than £16,000",Not in low income,121778.0
2014-15,North East,E12000001,"£16,000 but less than £20,000",Not in low income,41062.0
2014-15,North East,E12000001,"£20,000 or more",Not in low income,293735.0
2014-15,North East,E12000001,"£3,000 but less than £8,000",Not in low income,261159.0
2014-15,North East,E12000001,"£8,000 but less than £10,000",Not in low income,68122.0
2014-15,North West,E12000002,"Less than £1,500",Not in low income,686613.0
2014-15,North West,E12000002,No savings,Not in low income,2303313.0
2014-15,North West,E12000002,"£1,500 but less than £3,000",Not in low income,354991.0
2014-15,North West,E12000002,"£10,000 but less than £16,000",Not in low income,341950.0
2014-15,North West,E12000002,"£16,000 but less than £20,000",Not in low income,159218.0
2014-15,North West,E12000002,"£20,000 or more",Not in low income,960959.0
2014-15,North West,E12000002,"£3,000 but less than £8,000",Not in low income,757262.0
2014-15,North West,E12000002,"£8,000 but less than £10,000",Not in low income,125098.0
2014-15,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,517697.0
2014-15,Yorkshire and The Humber,E12000003,No savings,Not in low income,1366393.0
2014-15,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,374462.0
2014-15,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,295694.0
2014-15,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,116888.0
2014-15,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,808640.0
2014-15,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,666003.0
2014-15,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,137354.0
2015-16,North East,E12000001,"Less than £1,500",Not in low income,252475.0
2015-16,North East,E12000001,No savings,Not in low income,887953.0
2015-16,North East,E12000001,"£1,500 but less than £3,000",Not in low income,146921.0
2015-16,North East,E12000001,"£10,000 but less than £16,000",Not in low income,134354.0
2015-16,North East,E12000001,"£16,000 but less than £20,000",Not in low income,85384.0
2015-16,North East,E12000001,"£20,000 or more",Not in low income,302744.0
2015-16,North East,E12000001,"£3,000 but less than £8,000",Not in low income,233159.0
2015-16,North East,E12000001,"£8,000 but less than £10,000",Not in low income,65062.0
2015-16,North West,E12000002,"Less than £1,500",Not in low income,670445.0
2015-16,North West,E12000002,No savings,Not in low income,2218002.0
2015-16,North West,E12000002,"£1,500 but less than £3,000",Not in low income,431575.0
2015-16,North West,E12000002,"£10,000 but less than £16,000",Not in low income,338008.0
2015-16,North West,E12000002,"£16,000 but less than £20,000",Not in low income,156685.0
2015-16,North West,E12000002,"£20,000 or more",Not in low income,997623.0
2015-16,North West,E12000002,"£3,000 but less than £8,000",Not in low income,748590.0
2015-16,North West,E12000002,"£8,000 but less than £10,000",Not in low income,196305.0
2015-16,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,652744.0
2015-16,Yorkshire and The Humber,E12000003,No savings,Not in low income,1394584.0
2015-16,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,295443.0
2015-16,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,284917.0
2015-16,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,79908.0
2015-16,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,781335.0
2015-16,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,610958.0
2015-16,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,192353.0
2016-17,North East,E12000001,"Less than £1,500",Not in low income,243260.0
2016-17,North East,E12000001,No savings,Not in low income,882962.0
2016-17,North East,E12000001,"£1,500 but less than £3,000",Not in low income,170565.0
2016-17,North East,E12000001,"£10,000 but less than £16,000",Not in low income,158202.0
2016-17,North East,E12000001,"£16,000 but less than £20,000",Not in low income,59007.0
2016-17,North East,E12000001,"£20,000 or more",Not in low income,264452.0
2016-17,North East,E12000001,"£3,000 but less than £8,000",Not in low income,274004.0
2016-17,North East,E12000001,"£8,000 but less than £10,000",Not in low income,48682.0
2016-17,North West,E12000002,"Less than £1,500",Not in low income,788769.0
2016-17,North West,E12000002,No savings,Not in low income,2431894.0
2016-17,North West,E12000002,"£1,500 but less than £3,000",Not in low income,364214.0
2016-17,North West,E12000002,"£10,000 but less than £16,000",Not in low income,366199.0
2016-17,North West,E12000002,"£16,000 but less than £20,000",Not in low income,109706.0
2016-17,North West,E12000002,"£20,000 or more",Not in low income,871882.0
2016-17,North West,E12000002,"£3,000 but less than £8,000",Not in low income,611000.0
2016-17,North West,E12000002,"£8,000 but less than £10,000",Not in low income,165240.0
2016-17,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,725873.0
2016-17,Yorkshire and The Humber,E12000003,No savings,Not in low income,1392427.0
2016-17,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,264356.0
2016-17,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,321322.0
2016-17,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,103265.0
2016-17,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,791179.0
2016-17,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,599615.0
2016-17,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,163592.0
2017-18,North East,E12000001,"Less than £1,500",Not in low income,166070.0
2017-18,North East,E12000001,No savings,Not in low income,1052344.0
2017-18,North East,E12000001,"£1,500 but less than £3,000",Not in low income,105549.0
2017-18,North East,E12000001,"£10,000 but less than £16,000",Not in low income,127655.0
2017-18,North East,E12000001,"£16,000 but less than £20,000",Not in low income,56561.0
2017-18,North East,E12000001,"£20,000 or more",Not in low income,257560.0
2017-18,North East,E12000001,"£3,000 but less than £8,000",Not in low income,269580.0
2017-18,North East,E12000001,"£8,000 but less than £10,000",Not in low income,53774.0
2017-18,North West,E12000002,"Less than £1,500",Not in low income,744130.0
2017-18,North West,E12000002,No savings,Not in low income,2464617.0
2017-18,North West,E12000002,"£1,500 but less than £3,000",Not in low income,393317.0
2017-18,North West,E12000002,"£10,000 but less than £16,000",Not in low income,307046.0
2017-18,North West,E12000002,"£16,000 but less than £20,000",Not in low income,96194.0
2017-18,North West,E12000002,"£20,000 or more",Not in low income,905736.0
2017-18,North West,E12000002,"£3,000 but less than £8,000",Not in low income,664226.0
2017-18,North West,E12000002,"£8,000 but less than £10,000",Not in low income,136414.0
2017-18,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,558211.0
2017-18,Yorkshire and The Humber,E12000003,No savings,Not in low income,1466779.0
2017-18,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,406402.0
2017-18,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,307780.0
2017-18,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,82936.0
2017-18,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,778591.0
2017-18,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,532812.0
2017-18,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,132832.0
2018-19,North East,E12000001,"Less than £1,500",Not in low income,245402.0
2018-19,North East,E12000001,No savings,Not in low income,951238.0
2018-19,North East,E12000001,"£1,500 but less than £3,000",Not in low income,138235.0
2018-19,North East,E12000001,"£10,000 but less than £16,000",Not in low income,87188.0
2018-19,North East,E12000001,"£16,000 but less than £20,000",Not in low income,47956.0
2018-19,North East,E12000001,"£20,000 or more",Not in low income,333888.0
2018-19,North East,E12000001,"£3,000 but less than £8,000",Not in low income,246685.0
2018-19,North East,E12000001,"£8,000 but less than £10,000",Not in low income,55748.0
2018-19,North West,E12000002,"Less than £1,500",Not in low income,819464.0
2018-19,North West,E12000002,No savings,Not in low income,2374227.0
2018-19,North West,E12000002,"£1,500 but less than £3,000",Not in low income,371303.0
2018-19,North West,E12000002,"£10,000 but less than £16,000",Not in low income,360677.0
2018-19,North West,E12000002,"£16,000 but less than £20,000",Not in low income,124785.0
2018-19,North West,E12000002,"£20,000 or more",Not in low income,936610.0
2018-19,North West,E12000002,"£3,000 but less than £8,000",Not in low income,728805.0
2018-19,North West,E12000002,"£8,000 but less than £10,000",Not in low income,145068.0
2018-19,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,500657.0
2018-19,Yorkshire and The Humber,E12000003,No savings,Not in low income,1396864.0
2018-19,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,397505.0
2018-19,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,277956.0
2018-19,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,129089.0
2018-19,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,841972.0
2018-19,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,547252.0
2018-19,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,121770.0
2019-20,North East,E12000001,"Less than £1,500",Not in low income,663693.0
2019-20,North East,E12000001,No savings,Not in low income,292967.0
2019-20,North East,E12000001,"£1,500 but less than £3,000",Not in low income,174356.0
2019-20,North East,E12000001,"£10,000 but less than £16,000",Not in low income,120213.0
2019-20,North East,E12000001,"£16,000 but less than £20,000",Not in low income,43614.0
2019-20,North East,E12000001,"£20,000 or more",Not in low income,392322.0
2019-20,North East,E12000001,"£3,000 but less than £8,000",Not in low income,214011.0
2019-20,North East,E12000001,"£8,000 but less than £10,000",Not in low income,56091.0
2019-20,North West,E12000002,"Less than £1,500",Not in low income,2029094.0
2019-20,North West,E12000002,No savings,Not in low income,798286.0
2019-20,North West,E12000002,"£1,500 but less than £3,000",Not in low income,518084.0
2019-20,North West,E12000002,"£10,000 but less than £16,000",Not in low income,294273.0
2019-20,North West,E12000002,"£16,000 but less than £20,000",Not in low income,91958.0
2019-20,North West,E12000002,"£20,000 or more",Not in low income,1132841.0
2019-20,North West,E12000002,"£3,000 but less than £8,000",Not in low income,827401.0
2019-20,North West,E12000002,"£8,000 but less than £10,000",Not in low income,188461.0
2019-20,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,1431296.0
2019-20,Yorkshire and The Humber,E12000003,No savings,Not in low income,474891.0
2019-20,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,384046.0
2019-20,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,295616.0
2019-20,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,69844.0
2019-20,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,889352.0
2019-20,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,571616.0
2019-20,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,126099.0
2020-21,North East,E12000001,"Less than £1,500",Not in low income,0.0
2020-21,North East,E12000001,No savings,Not in low income,0.0
2020-21,North East,E12000001,"£1,500 but less than £3,000",Not in low income,0.0
2020-21,North East,E12000001,"£10,000 but less than £16,000",Not in low income,0.0
2020-21,North East,E12000001,"£16,000 but less than £20,000",Not in low income,0.0
2020-21,North East,E12000001,"£20,000 or more",Not in low income,0.0
2020-21,North East,E12000001,"£3,000 but less than £8,000",Not in low income,0.0
2020-21,North East,E12000001,"£8,000 but less than £10,000",Not in low income,0.0
2020-21,North West,E12000002,"Less than £1,500",Not in low income,0.0
2020-21,North West,E12000002,No savings,Not in low income,0.0
2020-21,North West,E12000002,"£1,500 but less than £3,000",Not in low income,0.0
2020-21,North West,E12000002,"£10,000 but less than £16,000",Not in low income,0.0
2020-21,North West,E12000002,"£16,000 but less than £20,000",Not in low income,0.0
2020-21,North West,E12000002,"£20,000 or more",Not in low income,0.0
2020-21,North West,E12000002,"£3,000 but less than £8,000",Not in low income,0.0
2020-21,North West,E12000002,"£8,000 but less than £10,000",Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,No savings,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,0.0
2021-22,North East,E12000001,"Less than £1,500",Not in low income,729107.0
2021-22,North East,E12000001,No savings,Not in low income,381740.0
2021-22,North East,E12000001,"£1,500 but less than £3,000",Not in low income,148798.0
2021-22,North East,E12000001,"£10,000 but less than £16,000",Not in low income,131587.0
2021-22,North East,E12000001,"£16,000 but less than £20,000",Not in low income,93177.0
2021-22,North East,E12000001,"£20,000 or more",Not in low income,350705.0
2021-22,North East,E12000001,"£3,000 but less than £8,000",Not in low income,305047.0
2021-22,North East,E12000001,"£8,000 but less than £10,000",Not in low income,53975.0
2021-22,North West,E12000002,"Less than £1,500",Not in low income,1976921.0
2021-22,North West,E12000002,No savings,Not in low income,1015544.0
2021-22,North West,E12000002,"£1,500 but less than £3,000",Not in low income,455518.0
2021-22,North West,E12000002,"£10,000 but less than £16,000",Not in low income,329441.0
2021-22,North West,E12000002,"£16,000 but less than £20,000",Not in low income,157182.0
2021-22,North West,E12000002,"£20,000 or more",Not in low income,1077857.0
2021-22,North West,E12000002,"£3,000 but less than £8,000",Not in low income,710444.0
2021-22,North West,E12000002,"£8,000 but less than £10,000",Not in low income,141164.0
2021-22,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,1339863.0
2021-22,Yorkshire and The Humber,E12000003,No savings,Not in low income,692311.0
2021-22,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,362868.0
2021-22,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,275290.0
2021-22,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,146319.0
2021-22,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,894806.0
2021-22,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,572597.0
2021-22,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,120913.0
1994-95,North East,E12000001,"Less than £1,500",In low income (below threshold),98385.0
1994-95,North East,E12000001,No savings,In low income (below threshold),352487.0
1994-95,North East,E12000001,"£1,500 but less than £3,000",In low income (below threshold),44756.0
1994-95,North East,E12000001,"£10,000 but less than £16,000",In low income (below threshold),16485.0
1994-95,North East,E12000001,"£16,000 but less than £20,000",In low income (below threshold),4815.0
1994-95,North East,E12000001,"£20,000 or more",In low income (below threshold),13066.0
1994-95,North East,E12000001,"£3,000 but less than £8,000",In low income (below threshold),40702.0
1994-95,North East,E12000001,"£8,000 but less than £10,000",In low income (below threshold),8638.0
1994-95,North West,E12000002,"Less than £1,500",In low income (below threshold),215539.0
1994-95,North West,E12000002,No savings,In low income (below threshold),886247.0
1994-95,North West,E12000002,"£1,500 but less than £3,000",In low income (below threshold),79686.0
1994-95,North West,E12000002,"£10,000 but less than £16,000",In low income (below threshold),35030.0
1994-95,North West,E12000002,"£16,000 but less than £20,000",In low income (below threshold),20103.0
1994-95,North West,E12000002,"£20,000 or more",In low income (below threshold),49442.0
1994-95,North West,E12000002,"£3,000 but less than £8,000",In low income (below threshold),139493.0
1994-95,North West,E12000002,"£8,000 but less than £10,000",In low income (below threshold),18870.0
1994-95,Yorkshire and The Humber,E12000003,"Less than £1,500",In low income (below threshold),141778.0
1994-95,Yorkshire and The Humber,E12000003,No savings,In low income (below threshold),681125.0
1994-95,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",In low income (below threshold),77204.0
1994-95,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",In low income (below threshold),45371.0
1994-95,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",In low income (below threshold),14757.0
1994-95,Yorkshire and The Humber,E12000003,"£20,000 or more",In low income (below threshold),53891.0
1994-95,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",In low income (below threshold),108023.0
1994-95,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",In low income (below threshold),17676.0
1995-96,North East,E12000001,"Less than £1,500",In low income (below threshold),81289.0
1995-96,North East,E12000001,No savings,In low income (below threshold),434873.0
1995-96,North East,E12000001,"£1,500 but less than £3,000",In low income (below threshold),28911.0
1995-96,North East,E12000001,"£10,000 but less than £16,000",In low income (below threshold),15241.0
1995-96,North East,E12000001,"£16,000 but less than £20,000",In low income (below threshold),4775.0
1995-96,North East,E12000001,"£20,000 or more",In low income (below threshold),21252.0
1995-96,North East,E12000001,"£3,000 but less than £8,000",In low income (below threshold),49866.0
1995-96,North East,E12000001,"£8,000 but less than £10,000",In low income (below threshold),640.0
1995-96,North West,E12000002,"Less than £1,500",In low income (below threshold),187097.0
1995-96,North West,E12000002,No savings,In low income (below threshold),802379.0
1995-96,North West,E12000002,"£1,500 but less than £3,000",In low income (below threshold),73288.0
1995-96,North West,E12000002,"£10,000 but less than £16,000",In low income (below threshold),32616.0
1995-96,North West,E12000002,"£16,000 but less than £20,000",In low income (below threshold),8256.0
1995-96,North West,E12000002,"£20,000 or more",In low income (below threshold),43281.0
1995-96,North West,E12000002,"£3,000 but less than £8,000",In low income (below threshold),92456.0
1995-96,North West,E12000002,"£8,000 but less than £10,000",In low income (below threshold),28746.0
1995-96,Yorkshire and The Humber,E12000003,"Less than £1,500",In low income (below threshold),159386.0
1995-96,Yorkshire and The Humber,E12000003,No savings,In low income (below threshold),678016.0
1995-96,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",In low income (below threshold),57398.0
1995-96,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",In low income (below threshold),31429.0
1995-96,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",In low income (below threshold),17086.0
1995-96,Yorkshire and The Humber,E12000003,"£20,000 or more",In low income (below threshold),35325.0
