geography_code,ahc_income_status,Marital Status of Adults and Type of Couple in the Family of the Individual,bhc_income_status,variable_name,value,date,population,percent
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,146826.0,2003-04 - 2005-06,4349733.333333333,3.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,524986.3333333334,2003-04 - 2005-06,2369195.6666666665,22.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,198183.33333333334,2003-04 - 2005-06,2369195.6666666665,8.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,496226.6666666667,2003-04 - 2005-06,3384821.0,15.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,115020.66666666667,2003-04 - 2005-06,3384821.0,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,336114.3333333333,2003-04 - 2005-06,1589669.3333333333,21.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,122331.33333333333,2003-04 - 2005-06,1589669.3333333333,8.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,23167.333333333332,2003-04 - 2005-06,1606707.3333333335,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1292763.6666666667,2003-04 - 2005-06,1606707.3333333335,80.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,29288.666666666668,2003-04 - 2005-06,889797.6666666666,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,587477.6666666666,2003-04 - 2005-06,889797.6666666666,66.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,68361.33333333333,2003-04 - 2005-06,4349733.333333333,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3523272.6666666665,2003-04 - 2005-06,4349733.333333333,81.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,77020.66666666667,2003-04 - 2005-06,2369195.6666666665,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1569005.3333333333,2003-04 - 2005-06,2369195.6666666665,66.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,59344.0,2003-04 - 2005-06,3384821.0,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2714229.6666666665,2003-04 - 2005-06,3384821.0,80.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,47856.666666666664,2003-04 - 2005-06,1589669.3333333333,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1083367.0,2003-04 - 2005-06,1589669.3333333333,68.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,251148.66666666666,2004-05 - 2006-07,1619657.6666666665,16.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,56106.666666666664,2004-05 - 2006-07,1619657.6666666665,3.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,218046.0,2004-05 - 2006-07,880793.3333333333,25.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,57797.666666666664,2004-05 - 2006-07,880793.3333333333,7.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,629203.0,2004-05 - 2006-07,4346789.333333333,14.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,161002.33333333334,2004-05 - 2006-07,4346789.333333333,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,546497.0,2004-05 - 2006-07,2400357.3333333335,23.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,206940.0,2004-05 - 2006-07,2400357.3333333335,9.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,513493.0,2004-05 - 2006-07,3409996.3333333335,15.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,119269.0,2004-05 - 2006-07,3409996.3333333335,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,338672.6666666667,2004-05 - 2006-07,1599585.6666666667,21.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,112412.33333333333,2004-05 - 2006-07,1599585.6666666667,7.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,16313.333333333334,2004-05 - 2006-07,1619657.6666666665,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1296089.0,2004-05 - 2006-07,1619657.6666666665,80.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,29358.0,2004-05 - 2006-07,880793.3333333333,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,575591.6666666666,2004-05 - 2006-07,880793.3333333333,65.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,73645.33333333333,2004-05 - 2006-07,4346789.333333333,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3482938.6666666665,2004-05 - 2006-07,4346789.333333333,80.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,75782.66666666667,2004-05 - 2006-07,2400357.3333333335,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1571137.6666666667,2004-05 - 2006-07,2400357.3333333335,65.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,66836.33333333333,2004-05 - 2006-07,3409996.3333333335,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2710398.0,2004-05 - 2006-07,3409996.3333333335,79.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,50873.666666666664,2004-05 - 2006-07,1599585.6666666667,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1097627.0,2004-05 - 2006-07,1599585.6666666667,69.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,247939.0,2005-06 - 2007-08,1611699.6666666667,15.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,64301.333333333336,2005-06 - 2007-08,1611699.6666666667,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,240695.0,2005-06 - 2007-08,895962.0,27.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,54139.333333333336,2005-06 - 2007-08,895962.0,6.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,717156.0,2005-06 - 2007-08,4395577.333333333,16.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,178430.0,2005-06 - 2007-08,4395577.333333333,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,536130.3333333334,2005-06 - 2007-08,2380632.6666666665,23.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,186785.33333333334,2005-06 - 2007-08,2380632.6666666665,8.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,547125.0,2005-06 - 2007-08,3419044.0,16.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,132713.33333333334,2005-06 - 2007-08,3419044.0,4.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,341937.0,2005-06 - 2007-08,1623697.6666666665,21.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,121239.66666666667,2005-06 - 2007-08,1623697.6666666665,7.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,16844.666666666668,2005-06 - 2007-08,1611699.6666666667,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1282614.6666666667,2005-06 - 2007-08,1611699.6666666667,80.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,29036.666666666668,2005-06 - 2007-08,895962.0,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,572091.0,2005-06 - 2007-08,895962.0,64.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,73232.33333333333,2005-06 - 2007-08,4395577.333333333,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3426759.0,2005-06 - 2007-08,4395577.333333333,78.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,69897.66666666667,2005-06 - 2007-08,2380632.6666666665,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1587819.3333333333,2005-06 - 2007-08,2380632.6666666665,67.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,68670.0,2005-06 - 2007-08,3419044.0,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2670535.6666666665,2005-06 - 2007-08,3419044.0,78.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,52838.666666666664,2005-06 - 2007-08,1623697.6666666665,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1107682.3333333333,2005-06 - 2007-08,1623697.6666666665,68.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,253890.33333333334,2006-07 - 2008-09,1633428.6666666667,16.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,62395.333333333336,2006-07 - 2008-09,1633428.6666666667,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,243755.66666666666,2006-07 - 2008-09,881205.0,28.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,57458.333333333336,2006-07 - 2008-09,881205.0,7.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,693619.6666666666,2006-07 - 2008-09,4419952.333333333,16.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,197432.0,2006-07 - 2008-09,4419952.333333333,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,540997.6666666666,2006-07 - 2008-09,2384850.0,23.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,169427.33333333334,2006-07 - 2008-09,2384850.0,7.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,569475.6666666666,2006-07 - 2008-09,3461980.6666666665,16.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,122400.33333333333,2006-07 - 2008-09,3461980.6666666665,4.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,356574.3333333333,2006-07 - 2008-09,1609985.6666666667,22.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,124635.66666666667,2006-07 - 2008-09,1609985.6666666667,8.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,22883.0,2006-07 - 2008-09,1633428.6666666667,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1294260.0,2006-07 - 2008-09,1633428.6666666667,79.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,28871.0,2006-07 - 2008-09,881205.0,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,551120.0,2006-07 - 2008-09,881205.0,63.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,63973.666666666664,2006-07 - 2008-09,4419952.333333333,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3464927.0,2006-07 - 2008-09,4419952.333333333,78.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,62345.666666666664,2006-07 - 2008-09,2384850.0,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1612079.3333333333,2006-07 - 2008-09,2384850.0,68.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,68810.66666666667,2006-07 - 2008-09,3461980.6666666665,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2701294.0,2006-07 - 2008-09,3461980.6666666665,78.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,50619.0,2006-07 - 2008-09,1609985.6666666667,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1078156.6666666667,2006-07 - 2008-09,1609985.6666666667,67.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,247282.0,2007-08 - 2009-10,1641930.3333333333,15.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,65443.666666666664,2007-08 - 2009-10,1641930.3333333333,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,239803.66666666666,2007-08 - 2009-10,880568.3333333334,27.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,58409.666666666664,2007-08 - 2009-10,880568.3333333334,7.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,669484.0,2007-08 - 2009-10,4404549.333333333,15.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,200806.33333333334,2007-08 - 2009-10,4404549.333333333,5.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,527793.0,2007-08 - 2009-10,2428907.0,22.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,190186.33333333334,2007-08 - 2009-10,2428907.0,8.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,567441.0,2007-08 - 2009-10,3479082.3333333335,16.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,124391.33333333333,2007-08 - 2009-10,3479082.3333333335,4.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,361676.0,2007-08 - 2009-10,1622667.3333333335,22.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,137808.0,2007-08 - 2009-10,1622667.3333333335,8.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,24667.666666666668,2007-08 - 2009-10,1641930.3333333333,2.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1304537.0,2007-08 - 2009-10,1641930.3333333333,79.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,26112.666666666668,2007-08 - 2009-10,880568.3333333334,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,556242.3333333334,2007-08 - 2009-10,880568.3333333334,63.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,52030.333333333336,2007-08 - 2009-10,4404549.333333333,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3482228.6666666665,2007-08 - 2009-10,4404549.333333333,79.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,52564.666666666664,2007-08 - 2009-10,2428907.0,2.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1658363.0,2007-08 - 2009-10,2428907.0,68.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,62907.0,2007-08 - 2009-10,3479082.3333333335,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2724343.0,2007-08 - 2009-10,3479082.3333333335,78.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,51933.666666666664,2007-08 - 2009-10,1622667.3333333335,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1071249.6666666667,2007-08 - 2009-10,1622667.3333333335,66.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,233314.66666666666,2008-09 - 2010-11,1651953.6666666667,14.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,64598.666666666664,2008-09 - 2010-11,1651953.6666666667,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,207026.33333333334,2008-09 - 2010-11,878738.3333333333,24.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,62634.666666666664,2008-09 - 2010-11,878738.3333333333,7.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,605164.6666666666,2008-09 - 2010-11,4368049.666666667,14.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,191566.66666666666,2008-09 - 2010-11,4368049.666666667,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,517159.6666666667,2008-09 - 2010-11,2495550.3333333335,21.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,248892.66666666666,2008-09 - 2010-11,2495550.3333333335,10.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,597295.3333333334,2008-09 - 2010-11,3531755.0,17.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,126139.66666666667,2008-09 - 2010-11,3531755.0,4.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,354132.0,2008-09 - 2010-11,1600108.6666666665,22.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,138393.66666666666,2008-09 - 2010-11,1600108.6666666665,9.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,25105.666666666668,2008-09 - 2010-11,1651953.6666666667,2.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1328934.6666666667,2008-09 - 2010-11,1651953.6666666667,80.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,25827.666666666668,2008-09 - 2010-11,878738.3333333333,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,583249.6666666666,2008-09 - 2010-11,878738.3333333333,66.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,49761.0,2008-09 - 2010-11,4368049.666666667,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3521557.3333333335,2008-09 - 2010-11,4368049.666666667,81.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,55827.0,2008-09 - 2010-11,2495550.3333333335,2.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1673671.0,2008-09 - 2010-11,2495550.3333333335,67.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,55303.333333333336,2008-09 - 2010-11,3531755.0,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2753016.6666666665,2008-09 - 2010-11,3531755.0,78.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,46484.666666666664,2008-09 - 2010-11,1600108.6666666665,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1061098.3333333333,2008-09 - 2010-11,1600108.6666666665,66.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,247581.33333333334,2009-10 - 2011-12,1682731.3333333335,15.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,60311.333333333336,2009-10 - 2011-12,1682731.3333333335,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,183610.0,2009-10 - 2011-12,861775.6666666666,21.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,54701.666666666664,2009-10 - 2011-12,861775.6666666666,6.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,600001.6666666666,2009-10 - 2011-12,4378233.0,14.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,178543.33333333334,2009-10 - 2011-12,4378233.0,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,495024.3333333333,2009-10 - 2011-12,2530511.333333333,20.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,285582.3333333333,2009-10 - 2011-12,2530511.333333333,11.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,555487.6666666666,2009-10 - 2011-12,3527388.333333333,16.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,145642.33333333334,2009-10 - 2011-12,3527388.333333333,4.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,355642.0,2009-10 - 2011-12,1643795.0,22.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,136840.0,2009-10 - 2011-12,1643795.0,8.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,20463.666666666668,2009-10 - 2011-12,1682731.3333333335,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1354375.0,2009-10 - 2011-12,1682731.3333333335,80.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,20800.0,2009-10 - 2011-12,861775.6666666666,2.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,602664.0,2009-10 - 2011-12,861775.6666666666,70.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,59524.0,2009-10 - 2011-12,4378233.0,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3540164.0,2009-10 - 2011-12,4378233.0,81.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,61649.666666666664,2009-10 - 2011-12,2530511.333333333,2.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1688255.0,2009-10 - 2011-12,2530511.333333333,67.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,56540.333333333336,2009-10 - 2011-12,3527388.333333333,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2769718.0,2009-10 - 2011-12,3527388.333333333,79.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,43429.333333333336,2009-10 - 2011-12,1643795.0,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1107883.6666666667,2009-10 - 2011-12,1643795.0,67.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,243275.33333333334,2010-11 - 2012-13,1676751.0,15.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,58801.333333333336,2010-11 - 2012-13,1676751.0,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,171334.66666666666,2010-11 - 2012-13,880847.0,19.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,61631.666666666664,2010-11 - 2012-13,880847.0,7.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,605282.6666666666,2010-11 - 2012-13,4435543.0,14.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,177887.33333333334,2010-11 - 2012-13,4435543.0,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,466947.3333333333,2010-11 - 2012-13,2517249.6666666665,19.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,274882.6666666667,2010-11 - 2012-13,2517249.6666666665,11.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,535683.0,2010-11 - 2012-13,3524108.0,15.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,138111.0,2010-11 - 2012-13,3524108.0,4.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,355305.0,2010-11 - 2012-13,1686812.0,21.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,136312.66666666666,2010-11 - 2012-13,1686812.0,8.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,21524.0,2010-11 - 2012-13,1676751.0,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1353150.3333333333,2010-11 - 2012-13,1676751.0,81.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,20258.0,2010-11 - 2012-13,880847.0,2.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,627622.6666666666,2010-11 - 2012-13,880847.0,71.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,75108.66666666667,2010-11 - 2012-13,4435543.0,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3577264.3333333335,2010-11 - 2012-13,4435543.0,81.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,68893.33333333333,2010-11 - 2012-13,2517249.6666666665,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1706526.3333333333,2010-11 - 2012-13,2517249.6666666665,68.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,63971.666666666664,2010-11 - 2012-13,3524108.0,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2786342.3333333335,2010-11 - 2012-13,3524108.0,79.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,46267.666666666664,2010-11 - 2012-13,1686812.0,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1148926.6666666667,2010-11 - 2012-13,1686812.0,68.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,234404.66666666666,2011-12 - 2013-14,1674770.3333333333,14.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,65818.33333333333,2011-12 - 2013-14,1674770.3333333333,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,175464.0,2011-12 - 2013-14,889505.0,20.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,76020.0,2011-12 - 2013-14,889505.0,9.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,587385.6666666666,2011-12 - 2013-14,4465652.666666667,13.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,181773.66666666666,2011-12 - 2013-14,4465652.666666667,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,472196.3333333333,2011-12 - 2013-14,2515733.333333333,19.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,259789.0,2011-12 - 2013-14,2515733.333333333,10.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,476592.6666666667,2011-12 - 2013-14,3518304.666666667,14.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,141538.0,2011-12 - 2013-14,3518304.666666667,4.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,354290.3333333333,2011-12 - 2013-14,1718965.0,21.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,146734.0,2011-12 - 2013-14,1718965.0,9.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,20180.0,2011-12 - 2013-14,1674770.3333333333,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1354367.3333333333,2011-12 - 2013-14,1674770.3333333333,81.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,18313.333333333332,2011-12 - 2013-14,889505.0,2.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,619707.6666666666,2011-12 - 2013-14,889505.0,70.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,77664.33333333333,2011-12 - 2013-14,4465652.666666667,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3618829.0,2011-12 - 2013-14,4465652.666666667,81.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,68662.0,2011-12 - 2013-14,2515733.333333333,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1715086.0,2011-12 - 2013-14,2515733.333333333,68.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,63718.0,2011-12 - 2013-14,3518304.666666667,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2836456.0,2011-12 - 2013-14,3518304.666666667,81.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,53067.333333333336,2011-12 - 2013-14,1718965.0,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1164873.3333333333,2011-12 - 2013-14,1718965.0,68.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,219210.66666666666,2012-13 - 2014-15,1642253.6666666667,13.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,58099.333333333336,2012-13 - 2014-15,1642253.6666666667,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,195496.0,2012-13 - 2014-15,924978.6666666667,21.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,86573.66666666667,2012-13 - 2014-15,924978.6666666667,9.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,624814.3333333334,2012-13 - 2014-15,4496534.0,14.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,171665.0,2012-13 - 2014-15,4496534.0,4.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,476557.0,2012-13 - 2014-15,2499041.3333333335,19.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,253117.0,2012-13 - 2014-15,2499041.3333333335,10.0
