Stat-Xplore

"Households Below Average Income (I II III IV V VI i)"
"Type of Individual by Age Category by Financial Year by 60 per cent of median net household income (BHC) in latest prices and Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method)"
"Counting: Weighted Sum of Income Distribution - Whole Population"

Filters:
"Default Summation","Weighted Sum of Income Distribution - Whole Population"

"Measures","Type of Individual by Age Category","Financial Year","60 per cent of median net household income (BHC) in latest prices","Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method) (3ya)","Count","RSE","Annotations"
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Total","North East (E12000001)",10942075,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Total","Total",63302045,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",845027,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Not in low income (at or above threshold)","North West (E12000002)",1083101,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Not in low income (at or above threshold)","North East (E12000001)",440900,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Not in low income (at or above threshold)","Total",2369028,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",175513,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","In low income (below threshold)","North West (E12000002)",245774,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","In low income (below threshold)","North East (E12000001)",76967,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","In low income (below threshold)","Total",498254,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Total","Yorkshire and The Humber (E12000003)",1020540,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Total","North West (E12000002)",1328875,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Total","North East (E12000001)",517867,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2014-15 (r)","Total","Total",2867282,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",819871,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Not in low income (at or above threshold)","North West (E12000002)",1105334,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Not in low income (at or above threshold)","North East (E12000001)",428330,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Not in low income (at or above threshold)","Total",2353535,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",180143,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","In low income (below threshold)","North West (E12000002)",236063,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","In low income (below threshold)","North East (E12000001)",92965,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","In low income (below threshold)","Total",509171,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Total","Yorkshire and The Humber (E12000003)",1000014,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Total","North West (E12000002)",1341397,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Total","North East (E12000001)",521295,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2015-16 (r)","Total","Total",2862706,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",790319,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Not in low income (at or above threshold)","North West (E12000002)",1066023,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Not in low income (at or above threshold)","North East (E12000001)",428510,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Not in low income (at or above threshold)","Total",2284852,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",205729,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","In low income (below threshold)","North West (E12000002)",243798,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","In low income (below threshold)","North East (E12000001)",84634,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","In low income (below threshold)","Total",534161,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Total","Yorkshire and The Humber (E12000003)",996048,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Total","North West (E12000002)",1309821,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Total","North East (E12000001)",513144,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2016-17 (r)","Total","Total",2819013,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",816452,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Not in low income (at or above threshold)","North West (E12000002)",1064228,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Not in low income (at or above threshold)","North East (E12000001)",438675,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Not in low income (at or above threshold)","Total",2319355,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",185306,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","In low income (below threshold)","North West (E12000002)",252853,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","In low income (below threshold)","North East (E12000001)",76234,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","In low income (below threshold)","Total",514393,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Total","Yorkshire and The Humber (E12000003)",1001758,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Total","North West (E12000002)",1317081,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Total","North East (E12000001)",514909,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2017-18 (r)","Total","Total",2833748,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",801805,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Not in low income (at or above threshold)","North West (E12000002)",1052568,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Not in low income (at or above threshold)","North East (E12000001)",418349,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Not in low income (at or above threshold)","Total",2272722,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",180082,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","In low income (below threshold)","North West (E12000002)",260825,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","In low income (below threshold)","North East (E12000001)",82738,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","In low income (below threshold)","Total",523645,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Total","Yorkshire and The Humber (E12000003)",981887,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Total","North West (E12000002)",1313393,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Total","North East (E12000001)",501087,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2018-19 (r)","Total","Total",2796367,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",800788,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Not in low income (at or above threshold)","North West (E12000002)",1041074,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Not in low income (at or above threshold)","North East (E12000001)",400152,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Not in low income (at or above threshold)","Total",2242014,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","In low income (below threshold)","Yorkshire and The Humber (E12000003)",185077,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","In low income (below threshold)","North West (E12000002)",258881,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","In low income (below threshold)","North East (E12000001)",88903,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","In low income (below threshold)","Total",532861,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Total","Yorkshire and The Humber (E12000003)",985865,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Total","North West (E12000002)",1299955,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Total","North East (E12000001)",489055,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2019-20","Total","Total",2774875,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Not in low income (at or above threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Not in low income (at or above threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Not in low income (at or above threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","In low income (below threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","In low income (below threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","In low income (below threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Total","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Total","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Total","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2020-21 (covid2021)","Total","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",760999,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North West (E12000002)",1048617,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North East (E12000001)",411792,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Total",2221408,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",188741,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","In low income (below threshold)","North West (E12000002)",233934,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","In low income (below threshold)","North East (E12000001)",87398,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","In low income (below threshold)","Total",510073,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Total","Yorkshire and The Humber (E12000003)",949740,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Total","North West (E12000002)",1282551,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Total","North East (E12000001)",499190,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","2021-22 (covid2122, div)","Total","Total",2731481,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",5635261,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Not in low income (at or above threshold)","North West (E12000002)",7460945,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Not in low income (at or above threshold)","North East (E12000001)",2966708,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Not in low income (at or above threshold)","Total",16062914,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","In low income (below threshold)","Yorkshire and The Humber (E12000003)",1300591,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","In low income (below threshold)","North West (E12000002)",1732128,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","In low income (below threshold)","North East (E12000001)",589839,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","In low income (below threshold)","Total",3622558,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Total","Yorkshire and The Humber (E12000003)",6935852,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Total","North West (E12000002)",9193073,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Total","North East (E12000001)",3556547,0.00,
"Weighted Sum of Income Distribution - Whole Population","Pensioner","Total","Total","Total",19685472,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",4283131,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Not in low income (at or above threshold)","North West (E12000002)",5689404,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Not in low income (at or above threshold)","North East (E12000001)",2071299,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Not in low income (at or above threshold)","Total",12043834,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",979352,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","In low income (below threshold)","North West (E12000002)",1320760,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","In low income (below threshold)","North East (E12000001)",500775,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","In low income (below threshold)","Total",2800887,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Total","Yorkshire and The Humber (E12000003)",5262483,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Total","North West (E12000002)",7010164,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Total","North East (E12000001)",2572074,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2014-15 (r)","Total","Total",14844721,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",4292242,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Not in low income (at or above threshold)","North West (E12000002)",5757233,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Not in low income (at or above threshold)","North East (E12000001)",2108052,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Not in low income (at or above threshold)","Total",12157527,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",996485,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","In low income (below threshold)","North West (E12000002)",1283842,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","In low income (below threshold)","North East (E12000001)",473816,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","In low income (below threshold)","Total",2754143,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Total","Yorkshire and The Humber (E12000003)",5288727,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Total","North West (E12000002)",7041075,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Total","North East (E12000001)",2581868,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2015-16 (r)","Total","Total",14911670,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",4361629,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Not in low income (at or above threshold)","North West (E12000002)",5708904,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Not in low income (at or above threshold)","North East (E12000001)",2101134,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Not in low income (at or above threshold)","Total",12171667,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",950315,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","In low income (below threshold)","North West (E12000002)",1359277,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","In low income (below threshold)","North East (E12000001)",489406,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","In low income (below threshold)","Total",2798998,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Total","Yorkshire and The Humber (E12000003)",5311944,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Total","North West (E12000002)",7068181,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Total","North East (E12000001)",2590540,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2016-17 (r)","Total","Total",14970665,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",4266343,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Not in low income (at or above threshold)","North West (E12000002)",5711680,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Not in low income (at or above threshold)","North East (E12000001)",2089093,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Not in low income (at or above threshold)","Total",12067116,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",1084654,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","In low income (below threshold)","North West (E12000002)",1420528,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","In low income (below threshold)","North East (E12000001)",508504,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","In low income (below threshold)","Total",3013686,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Total","Yorkshire and The Humber (E12000003)",5350997,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Total","North West (E12000002)",7132208,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Total","North East (E12000001)",2597597,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2017-18 (r)","Total","Total",15080802,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",4213065,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Not in low income (at or above threshold)","North West (E12000002)",5860939,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Not in low income (at or above threshold)","North East (E12000001)",2106340,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Not in low income (at or above threshold)","Total",12180344,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",1191057,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","In low income (below threshold)","North West (E12000002)",1332300,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","In low income (below threshold)","North East (E12000001)",509239,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","In low income (below threshold)","Total",3032596,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Total","Yorkshire and The Humber (E12000003)",5404122,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Total","North West (E12000002)",7193239,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Total","North East (E12000001)",2615579,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2018-19 (r)","Total","Total",15212940,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",4242760,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Not in low income (at or above threshold)","North West (E12000002)",5880398,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Not in low income (at or above threshold)","North East (E12000001)",1957267,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Not in low income (at or above threshold)","Total",12080425,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","In low income (below threshold)","Yorkshire and The Humber (E12000003)",1160671,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","In low income (below threshold)","North West (E12000002)",1333085,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","In low income (below threshold)","North East (E12000001)",664737,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","In low income (below threshold)","Total",3158493,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Total","Yorkshire and The Humber (E12000003)",5403431,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Total","North West (E12000002)",7213483,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Total","North East (E12000001)",2622004,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2019-20","Total","Total",15238918,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Not in low income (at or above threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Not in low income (at or above threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Not in low income (at or above threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","In low income (below threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","In low income (below threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","In low income (below threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Total","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Total","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Total","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2020-21 (covid2021)","Total","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",4404967,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North West (E12000002)",5864071,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North East (E12000001)",2194136,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Total",12463174,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",1024512,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","In low income (below threshold)","North West (E12000002)",1366362,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","In low income (below threshold)","North East (E12000001)",423662,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","In low income (below threshold)","Total",2814536,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Total","Yorkshire and The Humber (E12000003)",5429479,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Total","North West (E12000002)",7230433,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Total","North East (E12000001)",2617798,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","2021-22 (covid2122, div)","Total","Total",15277710,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",30064137,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Not in low income (at or above threshold)","North West (E12000002)",40472629,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Not in low income (at or above threshold)","North East (E12000001)",14627321,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Not in low income (at or above threshold)","Total",85164087,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","In low income (below threshold)","Yorkshire and The Humber (E12000003)",7387046,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","In low income (below threshold)","North West (E12000002)",9416154,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","In low income (below threshold)","North East (E12000001)",3570139,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","In low income (below threshold)","Total",20373339,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Total","Yorkshire and The Humber (E12000003)",37451183,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Total","North West (E12000002)",49888783,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Total","North East (E12000001)",18197460,0.00,
"Weighted Sum of Income Distribution - Whole Population","Total","Total","Total","Total",105537426,0.00,


Symbol,Description
"I","Figures are for the United Kingdom from 2002/03 onwards. Earlier years are for Great Britain only. The reference period is single financial years. Source: Family Resources Survey (FRS), Department for Work and Pensions."
