date,geography_code,phase,fsm_eligible_percent
201819,E06000006,Total,27.9
201819,E08000019,Total,22.7
201819,E06000047,Total,20.9
201819,E10000017,Total,15.3
201819,E08000005,Total,20.8
201819,E06000008,Total,16.9
201819,E10000023,Total,9.8
201819,E08000015,Non-maintained special school,25.3
201819,E08000009,Non-maintained special school,35.5
201819,E08000017,Non-maintained special school,50.0
201819,E08000007,Non-maintained special school,21.8
201819,E08000035,Non-maintained special school,31.2
201819,E08000013,Non-maintained special school,0.0
201819,E08000001,Non-maintained special school,0.0
201819,E06000049,Non-maintained special school,0.0
201819,E08000021,Non-maintained special school,21.2
201819,E08000022,Non-maintained special school,20.5
201819,E06000048,Non-maintained special school,25.0
201819,E08000033,Non-maintained special school,76.5
201819,E08000019,Non-maintained special school,12.1
201819,E10000023,Non-maintained special school,18.3
201819,E08000034,Non-maintained special school,4.0
201819,E08000012,Non-maintained special school,9.3
201819,E08000014,Non-maintained special school,17.4
201819,E06000007,Non-maintained special school,96.7
201819,E08000009,Pupil referral unit,38.5
201819,E06000010,Pupil referral unit,57.6
201819,E06000003,Pupil referral unit,50.7
201819,E08000015,Pupil referral unit,38.5
201819,E08000017,Pupil referral unit,35.4
201819,E06000013,Pupil referral unit,55.6
201819,E08000003,Pupil referral unit,70.4
201819,E08000012,Pupil referral unit,18.9
201819,E08000034,Pupil referral unit,58.5
201819,E08000024,Pupil referral unit,53.0
201819,E08000007,Pupil referral unit,33.7
201819,E08000013,Pupil referral unit,32.2
201819,E08000035,Pupil referral unit,52.9
201819,E10000006,Pupil referral unit,34.9
201819,E08000010,Pupil referral unit,34.2
201819,E06000011,Pupil referral unit,48.5
201819,E06000006,Pupil referral unit,68.8
201819,E06000049,Pupil referral unit,18.2
201819,E08000008,Pupil referral unit,40.3
201819,E08000036,Pupil referral unit,35.6
201819,E10000017,Pupil referral unit,48.4
201819,E06000050,Pupil referral unit,34.1
201819,E08000021,Pupil referral unit,38.9
201819,E08000022,Pupil referral unit,36.5
201819,E06000004,Pupil referral unit,52.5
201819,E06000047,Pupil referral unit,46.7
201819,E08000018,Pupil referral unit,48.4
201819,E06000048,Pupil referral unit,83.3
201819,E08000032,Pupil referral unit,48.4
201819,E08000011,Pupil referral unit,69.5
201819,E08000033,Pupil referral unit,68.3
201819,E06000001,Pupil referral unit,68.2
201819,E06000002,Pupil referral unit,31.0
201819,E08000016,Pupil referral unit,53.6
201819,E08000001,Pupil referral unit,57.6
201819,E08000002,Pupil referral unit,38.2
201819,E08000019,Pupil referral unit,57.1
201819,E08000020,Pupil referral unit,34.2
201819,E08000004,Pupil referral unit,25.8
201819,E10000023,Pupil referral unit,38.5
201819,E08000005,Pupil referral unit,54.5
201819,E08000023,Pupil referral unit,37.3
201819,E08000014,Pupil referral unit,39.1
201819,E06000007,Pupil referral unit,16.7
201819,E06000012,Pupil referral unit,47.2
201819,E06000005,Pupil referral unit,56.7
201819,E06000008,Pupil referral unit,59.3
201819,E08000006,Pupil referral unit,51.5
201819,E06000009,Pupil referral unit,45.8
201819,E06000014,Pupil referral unit,31.9
201819,E06000010,State-funded nursery,4.1
201819,E08000015,State-funded nursery,7.4
201819,E08000003,State-funded nursery,30.2
201819,E06000007,State-funded nursery,0.0
201819,E08000012,State-funded nursery,4.8
201819,E08000034,State-funded nursery,0.0
201819,E08000024,State-funded nursery,1.1
201819,E08000007,State-funded nursery,10.9
201819,E08000013,State-funded nursery,0.0
201819,E10000006,State-funded nursery,1.8
201819,E08000010,State-funded nursery,0.0
201819,E06000011,State-funded nursery,0.0
201819,E06000049,State-funded nursery,0.0
201819,E10000017,State-funded nursery,0.0
201819,E06000050,State-funded nursery,0.0
201819,E08000021,State-funded nursery,23.1
201819,E08000022,State-funded nursery,0.0
201819,E08000018,State-funded nursery,0.2
201819,E08000032,State-funded nursery,3.7
201819,E08000001,State-funded nursery,0.5
201819,E08000002,State-funded nursery,53.1
201819,E08000019,State-funded nursery,22.0
201819,E08000020,State-funded nursery,0.0
201819,E06000047,State-funded nursery,0.0
201819,E08000005,State-funded nursery,0.0
201819,E08000023,State-funded nursery,0.3
201819,E08000014,State-funded nursery,0.0
201819,E08000036,State-funded nursery,0.0
201819,E06000006,State-funded nursery,0.0
201819,E06000012,State-funded nursery,0.0
201819,E06000005,State-funded nursery,0.0
201819,E06000008,State-funded nursery,0.0
201819,E10000023,State-funded nursery,3.1
201819,E06000014,State-funded nursery,4.0
201819,E08000009,State-funded primary,8.7
201819,E06000003,State-funded primary,20.5
201819,E08000015,State-funded primary,20.6
201819,E08000017,State-funded primary,18.3
201819,E06000010,State-funded primary,23.0
201819,E06000013,State-funded primary,16.7
201819,E08000003,State-funded primary,27.8
201819,E06000007,State-funded primary,14.3
201819,E08000012,State-funded primary,25.7
201819,E08000006,State-funded primary,23.6
201819,E08000034,State-funded primary,18.3
201819,E08000024,State-funded primary,21.9
201819,E08000013,State-funded primary,17.4
201819,E08000035,State-funded primary,18.6
201819,E10000006,State-funded primary,11.8
201819,E08000010,State-funded primary,17.5
201819,E06000049,State-funded primary,10.0
201819,E08000007,State-funded primary,12.5
201819,E08000008,State-funded primary,19.8
201819,E06000050,State-funded primary,13.4
201819,E08000021,State-funded primary,31.4
201819,E06000004,State-funded primary,18.0
201819,E08000018,State-funded primary,16.9
201819,E06000048,State-funded primary,15.1
201819,E08000032,State-funded primary,17.7
201819,E08000022,State-funded primary,16.4
201819,E08000011,State-funded primary,28.5
201819,E08000033,State-funded primary,17.8
201819,E06000001,State-funded primary,28.9
201819,E08000016,State-funded primary,20.7
201819,E08000001,State-funded primary,17.6
201819,E06000011,State-funded primary,14.1
201819,E08000019,State-funded primary,23.7
201819,E08000020,State-funded primary,19.4
201819,E06000047,State-funded primary,22.6
201819,E08000004,State-funded primary,19.3
201819,E10000017,State-funded primary,15.7
201819,E08000005,State-funded primary,20.0
201819,E10000023,State-funded primary,10.7
201819,E08000023,State-funded primary,23.2
201819,E06000002,State-funded primary,26.1
201819,E08000014,State-funded primary,17.1
201819,E08000036,State-funded primary,15.2
201819,E06000006,State-funded primary,29.4
201819,E06000012,State-funded primary,20.0
201819,E06000005,State-funded primary,21.3
201819,E08000002,State-funded primary,15.6
201819,E06000008,State-funded primary,16.9
201819,E06000009,State-funded primary,27.0
201819,E06000014,State-funded primary,9.4
201819,E08000009,State-funded secondary,8.6
201819,E06000003,State-funded secondary,17.9
201819,E08000017,State-funded secondary,16.5
201819,E06000007,State-funded secondary,10.6
201819,E06000009,State-funded secondary,28.9
201819,E08000012,State-funded secondary,24.3
201819,E08000034,State-funded secondary,21.6
201819,E08000024,State-funded secondary,22.8
201819,E08000006,State-funded secondary,23.7
201819,E06000014,State-funded secondary,7.6
201819,E08000013,State-funded secondary,16.5
201819,E08000035,State-funded secondary,16.8
201819,E10000006,State-funded secondary,10.0
201819,E08000015,State-funded secondary,16.8
201819,E06000010,State-funded secondary,22.1
201819,E08000010,State-funded secondary,15.0
201819,E06000049,State-funded secondary,9.1
201819,E08000007,State-funded secondary,12.7
201819,E08000008,State-funded secondary,18.0
201819,E06000050,State-funded secondary,11.8
201819,E08000021,State-funded secondary,26.5
201819,E06000005,State-funded secondary,17.0
201819,E06000004,State-funded secondary,16.9
201819,E08000018,State-funded secondary,16.0
201819,E06000048,State-funded secondary,12.3
201819,E08000003,State-funded secondary,26.7
201819,E08000032,State-funded secondary,19.1
201819,E08000022,State-funded secondary,12.3
201819,E06000001,State-funded secondary,28.0
201819,E08000001,State-funded secondary,18.2
201819,E06000011,State-funded secondary,12.1
201819,E08000020,State-funded secondary,16.6
201819,E06000047,State-funded secondary,17.6
201819,E08000004,State-funded secondary,19.2
201819,E06000013,State-funded secondary,15.7
201819,E08000011,State-funded secondary,36.5
201819,E08000005,State-funded secondary,21.3
201819,E08000033,State-funded secondary,14.8
201819,E10000023,State-funded secondary,8.1
201819,E08000023,State-funded secondary,20.2
201819,E08000014,State-funded secondary,15.0
201819,E08000016,State-funded secondary,18.7
201819,E08000036,State-funded secondary,14.3
201819,E06000002,State-funded secondary,26.9
201819,E06000006,State-funded secondary,25.9
201819,E08000019,State-funded secondary,20.1
201819,E06000012,State-funded secondary,17.0
201819,E08000002,State-funded secondary,16.0
201819,E10000017,State-funded secondary,14.0
201819,E06000008,State-funded secondary,16.3
201819,E08000008,State-funded special school,37.8
201819,E06000003,State-funded special school,47.1
201819,E08000017,State-funded special school,35.4
201819,E06000009,State-funded special school,49.2
201819,E08000012,State-funded special school,51.6
201819,E08000034,State-funded special school,46.1
201819,E08000006,State-funded special school,45.8
201819,E06000014,State-funded special school,26.8
201819,E08000024,State-funded special school,49.4
201819,E08000009,State-funded special school,33.5
201819,E10000006,State-funded special school,32.4
201819,E08000015,State-funded special school,46.3
201819,E06000010,State-funded special school,46.9
201819,E08000010,State-funded special school,36.9
201819,E06000049,State-funded special school,31.6
201819,E08000013,State-funded special school,43.6
201819,E08000007,State-funded special school,36.0
201819,E08000035,State-funded special school,43.1
201819,E06000007,State-funded special school,38.4
201819,E08000020,State-funded special school,39.9
201819,E06000050,State-funded special school,39.2
201819,E08000021,State-funded special school,54.1
201819,E06000004,State-funded special school,42.4
201819,E08000018,State-funded special school,39.1
201819,E06000005,State-funded special school,46.6
201819,E08000032,State-funded special school,31.6
201819,E06000048,State-funded special school,40.0
201819,E06000001,State-funded special school,51.0
201819,E08000001,State-funded special school,38.8
201819,E06000011,State-funded special school,32.4
201819,E08000003,State-funded special school,48.5
201819,E08000004,State-funded special school,38.2
201819,E06000013,State-funded special school,36.9
201819,E08000011,State-funded special school,53.6
201819,E08000033,State-funded special school,35.6
201819,E10000023,State-funded special school,32.4
201819,E08000022,State-funded special school,40.1
201819,E08000023,State-funded special school,51.3
201819,E08000014,State-funded special school,41.1
201819,E08000016,State-funded special school,47.7
201819,E08000036,State-funded special school,44.4
201819,E06000002,State-funded special school,52.0
201819,E06000006,State-funded special school,45.2
201819,E08000019,State-funded special school,47.4
201819,E06000012,State-funded special school,42.5
201819,E06000047,State-funded special school,47.5
201819,E08000002,State-funded special school,33.3
201819,E10000017,State-funded special school,38.5
201819,E08000005,State-funded special school,41.0
201819,E06000008,State-funded special school,34.9
201718,E08000009,Total,8.6
201718,E08000016,Total,18.0
201718,E06000003,Total,18.0
201718,E06000004,Total,16.4
201718,E08000017,Total,15.3
201718,E10000017,Total,13.5
201718,E08000024,Total,21.0
201718,E08000013,Total,15.8
201718,E08000007,Total,11.4
201718,E08000035,Total,15.6
201718,E10000006,Total,9.9
201718,E08000015,Total,17.0
201718,E06000010,Total,22.5
201718,E08000001,Total,15.9
201718,E08000018,Total,15.1
201718,E08000010,Total,14.3
201718,E06000006,Total,26.1
201718,E06000011,Total,11.8
201718,E08000021,Total,25.6
201718,E06000012,Total,15.9
201718,E06000047,Total,18.1
201718,E06000048,Total,12.3
201718,E06000050,Total,11.6
201718,E08000002,Total,14.8
201718,E08000011,Total,29.1
201718,E08000004,Total,17.6
201718,E08000033,Total,14.4
201718,E08000022,Total,12.6
201718,E06000007,Total,11.0
201718,E08000005,Total,18.9
201718,E06000008,Total,15.2
201718,E10000023,Total,8.1
201718,E08000012,Total,24.0
201718,E06000001,Total,25.8
201718,E08000036,Total,13.1
201718,E06000005,Total,16.6
201718,E08000019,Total,20.3
201718,E08000020,Total,15.9
201718,E06000009,Total,25.5
201718,E08000006,Total,21.6
201718,E08000034,Total,19.0
201718,E06000014,Total,7.6
201718,E08000014,Total,15.3
201718,E08000008,Total,17.4
201718,E06000002,Total,24.2
201718,E08000003,Total,24.8
201718,E08000032,Total,17.7
201718,E06000013,Total,13.7
201718,E06000049,Total,8.4
201718,E08000023,Total,19.2
201718,E08000017,Non-maintained special school,57.7
201718,E08000013,Non-maintained special school,0.0
201718,E08000035,Non-maintained special school,23.6
201718,E08000001,Non-maintained special school,3.9
201718,E08000019,Non-maintained special school,23.5
201718,E06000007,Non-maintained special school,100.0
201718,E08000022,Non-maintained special school,21.9
201718,E08000033,Non-maintained special school,50.8
201718,E08000012,Non-maintained special school,13.5
201718,E08000034,Non-maintained special school,4.8
201718,E08000014,Non-maintained special school,11.1
201718,E06000048,Non-maintained special school,13.5
201718,E08000021,Non-maintained special school,33.1
201718,E08000007,Non-maintained special school,21.8
201718,E08000015,Non-maintained special school,24.7
201718,E08000009,Non-maintained special school,34.2
201718,E10000023,Non-maintained special school,10.3
201718,E06000049,Non-maintained special school,0.0
201718,E10000006,Pupil referral unit,28.7
201718,E06000003,Pupil referral unit,34.4
201718,E08000015,Pupil referral unit,45.1
201718,E08000017,Pupil referral unit,30.7
201718,E06000004,Pupil referral unit,57.4
201718,E06000047,Pupil referral unit,47.6
201718,E08000018,Pupil referral unit,56.5
201718,E06000008,Pupil referral unit,55.6
201718,E08000013,Pupil referral unit,26.7
201718,E08000035,Pupil referral unit,43.3
201718,E08000010,Pupil referral unit,30.1
201718,E06000011,Pupil referral unit,46.6
201718,E08000001,Pupil referral unit,50.0
201718,E08000002,Pupil referral unit,33.0
201718,E08000019,Pupil referral unit,56.5
201718,E08000008,Pupil referral unit,32.2
201718,E06000050,Pupil referral unit,14.3
201718,E06000006,Pupil referral unit,68.8
201718,E06000012,Pupil referral unit,44.4
201718,E08000020,Pupil referral unit,33.0
201718,E08000022,Pupil referral unit,35.7
201718,E06000007,Pupil referral unit,16.7
201718,E06000013,Pupil referral unit,40.0
201718,E06000005,Pupil referral unit,46.2
201718,E08000011,Pupil referral unit,64.4
201718,E08000033,Pupil referral unit,51.9
201718,E08000003,Pupil referral unit,65.4
201718,E08000005,Pupil referral unit,44.9
201718,E08000023,Pupil referral unit,14.3
201718,E10000017,Pupil referral unit,46.7
201718,E08000006,Pupil referral unit,45.2
201718,E06000009,Pupil referral unit,47.6
201718,E06000014,Pupil referral unit,30.4
201718,E08000012,Pupil referral unit,26.2
201718,E08000034,Pupil referral unit,43.5
201718,E08000016,Pupil referral unit,48.0
201718,E06000001,Pupil referral unit,57.9
201718,E08000036,Pupil referral unit,31.3
201718,E06000002,Pupil referral unit,38.6
201718,E08000014,Pupil referral unit,43.2
201718,E06000048,Pupil referral unit,80.0
201718,E08000032,Pupil referral unit,44.0
201718,E08000021,Pupil referral unit,52.8
201718,E08000007,Pupil referral unit,28.4
201718,E06000010,Pupil referral unit,40.4
201718,E08000009,Pupil referral unit,19.6
201718,E08000004,Pupil referral unit,31.3
201718,E10000023,Pupil referral unit,36.6
201718,E06000049,Pupil referral unit,19.2
201718,E08000024,Pupil referral unit,56.4
201718,E10000006,State-funded nursery,1.1
201718,E08000015,State-funded nursery,5.5
201718,E06000010,State-funded nursery,0.8
201718,E08000018,State-funded nursery,0.0
201718,E06000008,State-funded nursery,0.0
201718,E08000013,State-funded nursery,0.0
201718,E08000010,State-funded nursery,0.0
201718,E08000001,State-funded nursery,0.0
201718,E06000011,State-funded nursery,0.0
201718,E08000019,State-funded nursery,24.6
201718,E06000050,State-funded nursery,0.0
201718,E08000002,State-funded nursery,51.1
201718,E06000006,State-funded nursery,0.0
201718,E06000012,State-funded nursery,0.0
201718,E08000020,State-funded nursery,0.0
201718,E06000047,State-funded nursery,0.0
201718,E08000022,State-funded nursery,0.0
201718,E06000005,State-funded nursery,0.0
201718,E08000003,State-funded nursery,22.8
201718,E06000007,State-funded nursery,0.0
201718,E08000005,State-funded nursery,0.0
201718,E10000023,State-funded nursery,2.4
201718,E08000023,State-funded nursery,0.0
201718,E10000017,State-funded nursery,0.0
201718,E06000014,State-funded nursery,0.0
201718,E08000012,State-funded nursery,4.0
201718,E08000034,State-funded nursery,0.0
201718,E08000036,State-funded nursery,0.0
201718,E08000014,State-funded nursery,0.0
201718,E08000032,State-funded nursery,1.9
201718,E08000021,State-funded nursery,20.3
201718,E08000007,State-funded nursery,13.0
201718,E06000049,State-funded nursery,0.0
201718,E08000024,State-funded nursery,1.3
201718,E10000006,State-funded primary,10.6
201718,E06000003,State-funded primary,17.6
201718,E08000015,State-funded primary,18.0
201718,E08000017,State-funded primary,15.5
201718,E06000004,State-funded primary,16.3
201718,E08000018,State-funded primary,15.0
201718,E06000008,State-funded primary,15.0
201718,E08000013,State-funded primary,16.0
201718,E08000035,State-funded primary,15.9
201718,E08000007,State-funded primary,11.1
201718,E06000010,State-funded primary,22.2
201718,E08000001,State-funded primary,15.4
201718,E06000011,State-funded primary,12.5
201718,E08000008,State-funded primary,16.9
201718,E06000050,State-funded primary,11.9
201718,E08000010,State-funded primary,14.7
201718,E06000006,State-funded primary,27.8
201718,E08000019,State-funded primary,20.9
201718,E06000012,State-funded primary,15.8
201718,E08000020,State-funded primary,16.3
201718,E06000047,State-funded primary,19.3
201718,E06000005,State-funded primary,18.1
201718,E08000002,State-funded primary,14.4
201718,E08000022,State-funded primary,13.1
201718,E08000011,State-funded primary,26.2
201718,E08000003,State-funded primary,24.5
201718,E06000007,State-funded primary,11.6
201718,E08000005,State-funded primary,18.3
201718,E08000033,State-funded primary,15.6
201718,E10000023,State-funded primary,8.8
201718,E08000023,State-funded primary,19.5
201718,E08000012,State-funded primary,24.5
201718,E08000006,State-funded primary,21.3
201718,E08000034,State-funded primary,17.8
201718,E08000016,State-funded primary,18.3
201718,E06000001,State-funded primary,26.4
201718,E08000036,State-funded primary,12.9
201718,E06000002,State-funded primary,23.4
201718,E08000014,State-funded primary,15.9
201718,E06000048,State-funded primary,12.4
201718,E08000032,State-funded primary,17.2
201718,E08000021,State-funded primary,26.7
201718,E06000009,State-funded primary,24.8
201718,E06000014,State-funded primary,7.9
201718,E08000009,State-funded primary,8.3
201718,E08000004,State-funded primary,17.1
201718,E10000017,State-funded primary,13.9
201718,E06000013,State-funded primary,13.6
201718,E06000049,State-funded primary,8.7
201718,E08000024,State-funded primary,20.8
201718,E08000009,State-funded secondary,7.9
201718,E10000006,State-funded secondary,8.7
201718,E06000003,State-funded secondary,17.3
201718,E08000017,State-funded secondary,14.3
201718,E06000004,State-funded secondary,15.2
201718,E08000018,State-funded secondary,14.4
201718,E08000013,State-funded secondary,14.7
201718,E08000007,State-funded secondary,10.8
201718,E08000035,State-funded secondary,14.5
201718,E08000015,State-funded secondary,14.5
201718,E06000010,State-funded secondary,21.6
201718,E08000001,State-funded secondary,16.1
201718,E06000011,State-funded secondary,10.6
201718,E08000008,State-funded secondary,17.5
201718,E08000010,State-funded secondary,12.8
201718,E06000006,State-funded secondary,23.7
201718,E08000019,State-funded secondary,18.1
201718,E06000012,State-funded secondary,14.9
201718,E08000020,State-funded secondary,14.1
201718,E06000047,State-funded secondary,15.4
201718,E08000002,State-funded secondary,14.5
201718,E08000022,State-funded secondary,10.9
201718,E06000050,State-funded secondary,10.0
201718,E08000011,State-funded secondary,34.1
201718,E08000005,State-funded secondary,19.1
201718,E08000033,State-funded secondary,12.2
201718,E10000023,State-funded secondary,6.7
201718,E08000023,State-funded secondary,17.6
201718,E06000007,State-funded secondary,9.3
201718,E06000005,State-funded secondary,13.5
201718,E06000008,State-funded secondary,14.5
201718,E08000012,State-funded secondary,22.4
201718,E08000034,State-funded secondary,20.1
201718,E06000001,State-funded secondary,23.8
201718,E08000016,State-funded secondary,16.5
201718,E08000036,State-funded secondary,12.6
201718,E08000014,State-funded secondary,13.7
201718,E06000048,State-funded secondary,11.4
201718,E08000003,State-funded secondary,23.6
201718,E08000032,State-funded secondary,18.3
201718,E06000009,State-funded secondary,24.8
201718,E08000006,State-funded secondary,20.6
201718,E06000014,State-funded secondary,6.4
201718,E06000002,State-funded secondary,23.9
201718,E08000004,State-funded secondary,17.2
201718,E10000017,State-funded secondary,12.2
201718,E06000013,State-funded secondary,13.3
201718,E08000021,State-funded secondary,22.9
201718,E06000049,State-funded secondary,7.5
201718,E08000024,State-funded secondary,21.3
201718,E08000009,State-funded special school,31.8
201718,E06000003,State-funded special school,46.0
201718,E08000017,State-funded special school,34.2
201718,E06000004,State-funded special school,41.1
201718,E10000017,State-funded special school,35.9
201718,E08000024,State-funded special school,43.5
201718,E08000013,State-funded special school,42.1
201718,E08000007,State-funded special school,34.0
201718,E08000035,State-funded special school,39.0
201718,E10000006,State-funded special school,31.1
201718,E08000015,State-funded special school,43.0
201718,E06000010,State-funded special school,46.7
201718,E08000001,State-funded special school,35.5
201718,E08000018,State-funded special school,37.8
201718,E06000011,State-funded special school,31.2
201718,E08000010,State-funded special school,34.2
201718,E06000006,State-funded special school,44.2
201718,E08000019,State-funded special school,45.4
201718,E08000021,State-funded special school,50.9
201718,E06000012,State-funded special school,39.6
201718,E06000047,State-funded special school,45.6
201718,E06000048,State-funded special school,38.1
201718,E08000022,State-funded special school,36.3
201718,E06000050,State-funded special school,36.7
201718,E08000002,State-funded special school,31.7
201718,E08000011,State-funded special school,55.6
201718,E08000033,State-funded special school,27.3
201718,E08000023,State-funded special school,48.8
201718,E06000007,State-funded special school,36.7
201718,E08000005,State-funded special school,40.0
201718,E06000008,State-funded special school,35.6
201718,E10000023,State-funded special school,28.3
201718,E08000012,State-funded special school,51.7
201718,E08000034,State-funded special school,45.7
201718,E06000001,State-funded special school,46.7
201718,E08000036,State-funded special school,41.0
201718,E06000005,State-funded special school,44.6
201718,E08000032,State-funded special school,32.5
201718,E08000020,State-funded special school,40.0
201718,E06000009,State-funded special school,45.1
201718,E08000006,State-funded special school,47.8
201718,E06000014,State-funded special school,25.8
201718,E08000014,State-funded special school,40.0
201718,E08000008,State-funded special school,34.5
201718,E06000002,State-funded special school,51.7
201718,E08000016,State-funded special school,45.7
201718,E08000003,State-funded special school,44.5
201718,E08000004,State-funded special school,40.8
201718,E06000013,State-funded special school,35.5
201718,E06000049,State-funded special school,28.9
201617,E08000014,Total,15.9
201617,E08000008,Total,17.7
201617,E08000036,Total,12.8
201617,E06000002,Total,25.7
201617,E08000005,Total,19.6
201617,E06000008,Total,14.9
201617,E10000023,Total,7.2
201617,E08000033,Total,13.7
201617,E08000023,Total,19.7
201617,E08000016,Total,18.8
201617,E06000050,Total,11.1
201617,E08000015,Total,16.7
201617,E08000009,Total,9.1
201617,E08000006,Total,20.9
201617,E06000009,Total,26.0
201617,E06000014,Total,7.5
201617,E08000012,Total,24.1
201617,E08000034,Total,18.9
201617,E06000010,Total,23.2
201617,E10000006,Total,9.3
201617,E08000010,Total,14.1
201617,E06000003,Total,18.3
201617,E06000004,Total,17.1
201617,E08000017,Total,15.7
201617,E08000007,Total,13.8
201617,E08000001,Total,16.2
201617,E08000018,Total,15.4
201617,E06000049,Total,8.2
201617,E06000006,Total,23.6
201617,E06000011,Total,11.5
201617,E06000047,Total,18.8
201617,E08000020,Total,15.7
201617,E08000002,Total,14.7
201617,E06000012,Total,16.4
201617,E06000005,Total,17.4
201617,E08000019,Total,21.9
201617,E08000021,Total,23.4
201617,E08000024,Total,20.9
201617,E06000001,Total,22.7
201617,E06000007,Total,10.2
201617,E08000003,Total,26.0
201617,E06000013,Total,14.0
201617,E06000048,Total,11.8
201617,E08000032,Total,18.1
201617,E08000013,Total,16.9
201617,E08000035,Total,16.3
201617,E10000017,Total,13.2
201617,E08000004,Total,17.1
201617,E08000022,Total,12.9
201617,E08000011,Total,28.2
201617,E08000009,Non-maintained special school,40.2
201617,E08000015,Non-maintained special school,21.8
201617,E08000034,Non-maintained special school,7.1
201617,E08000017,Non-maintained special school,62.5
201617,E08000007,Non-maintained special school,18.5
201617,E08000013,Non-maintained special school,0.0
201617,E08000035,Non-maintained special school,26.3
201617,E08000001,Non-maintained special school,100.0
201617,E06000049,Non-maintained special school,0.0
201617,E08000019,Non-maintained special school,22.9
201617,E06000007,Non-maintained special school,94.3
201617,E08000021,Non-maintained special school,15.8
201617,E06000048,Non-maintained special school,7.4
201617,E08000022,Non-maintained special school,22.7
201617,E10000023,Non-maintained special school,23.5
201617,E08000033,Non-maintained special school,66.1
201617,E08000014,Non-maintained special school,8.5
201617,E08000012,Non-maintained special school,18.3
201617,E08000009,Pupil referral unit,31.9
201617,E06000003,Pupil referral unit,20.4
201617,E08000015,Pupil referral unit,46.3
201617,E06000009,Pupil referral unit,46.2
201617,E06000014,Pupil referral unit,35.8
201617,E08000012,Pupil referral unit,18.3
201617,E08000006,Pupil referral unit,35.0
201617,E08000034,Pupil referral unit,69.2
201617,E08000024,Pupil referral unit,41.5
201617,E08000017,Pupil referral unit,37.2
201617,E06000010,Pupil referral unit,43.8
201617,E10000006,Pupil referral unit,51.9
201617,E08000010,Pupil referral unit,37.4
201617,E08000007,Pupil referral unit,39.8
201617,E08000013,Pupil referral unit,34.5
201617,E08000035,Pupil referral unit,37.5
201617,E06000004,Pupil referral unit,58.8
201617,E08000018,Pupil referral unit,52.4
201617,E08000020,Pupil referral unit,34.8
201617,E06000049,Pupil referral unit,10.0
201617,E08000008,Pupil referral unit,10.9
201617,E08000001,Pupil referral unit,53.8
201617,E08000002,Pupil referral unit,36.8
201617,E06000011,Pupil referral unit,34.0
201617,E06000047,Pupil referral unit,56.3
201617,E06000050,Pupil referral unit,21.4
201617,E06000006,Pupil referral unit,54.5
201617,E06000005,Pupil referral unit,18.8
201617,E08000019,Pupil referral unit,59.4
201617,E06000012,Pupil referral unit,59.1
201617,E08000021,Pupil referral unit,63.1
201617,E08000003,Pupil referral unit,70.8
201617,E06000007,Pupil referral unit,66.7
201617,E06000048,Pupil referral unit,66.7
201617,E08000032,Pupil referral unit,44.0
201617,E08000022,Pupil referral unit,30.9
201617,E06000001,Pupil referral unit,55.0
201617,E10000017,Pupil referral unit,43.0
201617,E08000004,Pupil referral unit,28.8
201617,E06000013,Pupil referral unit,100.0
201617,E08000011,Pupil referral unit,54.4
201617,E08000033,Pupil referral unit,50.9
201617,E06000002,Pupil referral unit,28.8
201617,E08000014,Pupil referral unit,31.2
201617,E08000016,Pupil referral unit,54.5
201617,E08000036,Pupil referral unit,35.9
201617,E06000008,Pupil referral unit,30.1
201617,E08000005,Pupil referral unit,60.7
201617,E10000023,Pupil referral unit,34.6
201617,E08000023,Pupil referral unit,36.4
201617,E08000012,State-funded nursery,6.8
201617,E08000034,State-funded nursery,0.0
201617,E08000024,State-funded nursery,2.3
201617,E10000006,State-funded nursery,2.9
201617,E08000015,State-funded nursery,8.5
201617,E06000014,State-funded nursery,0.0
201617,E08000013,State-funded nursery,0.0
201617,E06000010,State-funded nursery,1.4
201617,E08000010,State-funded nursery,0.0
201617,E08000018,State-funded nursery,0.0
201617,E06000049,State-funded nursery,0.0
201617,E08000007,State-funded nursery,14.7
201617,E08000001,State-funded nursery,0.3
201617,E06000011,State-funded nursery,1.1
201617,E08000020,State-funded nursery,0.0
201617,E06000047,State-funded nursery,0.0
201617,E06000050,State-funded nursery,0.0
201617,E06000006,State-funded nursery,0.0
201617,E06000005,State-funded nursery,0.0
201617,E08000002,State-funded nursery,23.1
201617,E08000019,State-funded nursery,32.1
201617,E06000012,State-funded nursery,4.1
201617,E08000021,State-funded nursery,20.3
201617,E08000003,State-funded nursery,16.5
201617,E06000007,State-funded nursery,0.0
201617,E08000032,State-funded nursery,1.5
201617,E10000017,State-funded nursery,0.0
201617,E08000022,State-funded nursery,0.0
201617,E08000014,State-funded nursery,0.0
201617,E08000036,State-funded nursery,0.0
201617,E06000008,State-funded nursery,0.0
201617,E08000005,State-funded nursery,0.0
201617,E10000023,State-funded nursery,2.6
201617,E08000023,State-funded nursery,0.3
201617,E08000009,State-funded primary,9.0
201617,E06000003,State-funded primary,18.1
201617,E06000008,State-funded primary,14.7
201617,E08000012,State-funded primary,24.1
201617,E08000034,State-funded primary,18.0
201617,E08000024,State-funded primary,20.8
201617,E08000017,State-funded primary,15.8
201617,E10000006,State-funded primary,9.9
201617,E08000015,State-funded primary,17.8
201617,E06000009,State-funded primary,25.1
201617,E08000006,State-funded primary,20.3
201617,E06000014,State-funded primary,7.8
201617,E08000013,State-funded primary,17.0
